# This file has been generated by: bonini2025/script/fmt_fig2.py
#
# hour: [h] Time of day
# par_diff_TRT: [µmol photon.m-2.s-1] mean over season direct PAR for given treatment: AV (agrivoltaics) of OF (open field)
# par_direct_TRT: [µmol photon.m-2.s-1] mean over season direct PAR for given treatment: AV (agrivoltaics) of OF (open field)
#
hour;par_diff_AV;par_diff_OF;par_direct_AV;par_direct_OF
6.60;12.09;13.99;11.46;13.08
7.00;29.34;45.42;33.14;51.53
7.38;57.42;93.70;73.96;127.60
7.77;88.78;142.96;133.22;233.99
8.15;112.10;188.28;179.59;352.32
8.54;126.16;229.67;159.63;473.25
8.93;145.90;270.56;166.83;602.14
9.31;164.32;304.22;266.85;705.38
9.70;201.09;360.05;544.52;832.63
10.08;228.04;396.18;695.78;933.46
10.46;242.16;409.81;779.81;1007.89
10.85;266.12;436.57;847.03;1091.92
11.24;274.00;459.07;839.83;1113.53
11.62;268.09;467.61;835.03;1111.13
12.01;260.21;484.68;907.05;1183.15
12.40;246.41;490.60;943.07;1209.56
12.79;233.61;483.71;929.55;1217.52
13.17;200.11;486.99;482.10;1247.98
13.56;173.51;461.37;206.00;1238.37
13.94;175.37;469.09;206.00;1209.49
14.33;168.58;453.73;198.80;1135.13
14.72;161.68;423.44;189.20;1070.31
15.11;160.70;413.92;186.80;976.68
15.49;160.70;402.42;208.40;883.04
15.87;158.73;367.77;246.82;789.41
16.27;158.73;330.66;358.90;705.38
16.66;160.70;297.65;484.50;606.95
17.04;148.35;261.04;450.89;496.51
17.42;129.17;212.92;369.26;405.27
17.81;113.40;186.31;275.63;322.96
18.20;93.70;153.88;191.60;248.33
18.57;73.01;118.83;109.97;184.40
18.94;56.26;89.76;85.96;126.77
19.22;47.39;73.50;73.96;93.16
19.57;32.61;50.19;40.34;59.62
19.88;22.76;31.96;30.74;35.54
20.22;13.84;12.91;13.93;16.34
20.53;10.83;5.02;13.93;4.33
20.87;10.38;3.05;11.53;4.33
