# This file has been generated by: bonini2025/script/fmt_fig3.py
#
# hour: [h] hour of day
# an_cs_TRT: [µmol CO2.m-2.s-1] NCER/LA mean over season for Cabernet Sauvignon for given treatment: AV (agrivoltaics) of OF (open field)
# an_mc_TRT: [µmol CO2.m-2.s-1] NCER/LA mean over season for Malvasia di Candia aromatica  for given treatment: AV (agrivoltaics) of OF (open field)
#
hour;an_cs_AV;an_cs_OF;an_mc_AV;an_mc_OF
6.10;-0.15;-0.02;-0.15;0.03
6.48;0.02;0.50;0.04;0.64
6.86;0.73;1.44;1.24;1.58
7.25;1.74;2.54;2.42;2.41
7.64;2.41;3.55;3.43;3.50
8.02;3.66;4.34;4.40;4.22
8.42;4.04;4.88;4.50;4.90
8.79;4.07;5.32;4.30;5.40
9.18;4.20;5.86;4.72;6.04
9.56;4.59;5.93;5.51;6.08
9.95;4.89;5.94;5.73;6.25
10.33;5.16;5.99;6.02;6.29
10.72;5.37;5.83;6.32;6.20
11.11;5.53;5.60;6.36;5.99
11.49;5.77;5.74;6.59;6.16
11.88;6.02;5.55;6.59;6.02
12.27;5.87;5.47;6.29;5.86
12.65;5.80;5.36;5.91;5.89
13.03;5.53;5.25;5.23;5.71
13.41;4.92;5.19;4.65;5.48
13.81;4.25;5.06;4.11;5.24
14.20;3.78;4.96;3.70;5.02
14.59;3.65;4.85;3.64;4.76
14.97;3.76;4.83;3.80;4.65
15.35;4.01;4.67;4.00;4.35
15.72;4.12;4.40;4.25;4.32
16.12;4.36;4.44;4.38;4.11
16.50;4.12;4.12;3.98;3.90
16.89;3.75;3.63;3.21;3.45
17.27;3.26;3.11;2.67;2.96
17.66;2.95;2.54;2.23;2.30
18.05;2.42;1.94;1.76;1.70
18.42;2.03;1.54;1.44;1.16
18.82;1.68;1.38;1.13;0.93
19.20;1.18;0.86;0.85;0.51
19.59;0.59;0.40;0.26;0.11
19.98;0.05;0.01;-0.05;-0.14
20.36;-0.14;-0.18;0.02;-0.19
20.75;-0.56;-0.04;0.18;-0.10
