wavelength [nm], responsivity (normalized)
3.018980e+2, 3.980000e-2
3.037960e+2, 5.524000e-2
3.056939e+2, 8.612000e-2
3.075919e+2, 1.086900e-1
3.094899e+2, 1.241300e-1
3.123369e+2, 1.395700e-1
3.132859e+2, 1.550100e-1
3.161329e+2, 1.704500e-1
3.189798e+2, 1.858900e-1
3.227758e+2, 1.971500e-1
3.237248e+2, 2.096400e-1
3.265718e+2, 2.250800e-1
3.294187e+2, 2.405200e-1
3.332147e+2, 2.559600e-1
3.360617e+2, 2.714000e-1
3.417556e+2, 2.868400e-1
3.446026e+2, 3.046500e-1
3.483986e+2, 3.200900e-1
3.540925e+2, 3.355300e-1
3.597865e+2, 3.509700e-1
3.635824e+2, 3.664100e-1
3.664294e+2, 3.818500e-1
3.721234e+2, 4.032300e-1
3.759193e+2, 4.186600e-1
3.806643e+2, 4.341000e-1
3.844603e+2, 4.495400e-1
3.882562e+2, 4.649800e-1
3.920522e+2, 4.804200e-1
3.958482e+2, 4.958600e-1
4.024911e+2, 5.160500e-1
4.091341e+2, 5.314900e-1
4.119810e+2, 5.469300e-1
4.157770e+2, 5.623700e-1
4.205220e+2, 5.778100e-1
4.271649e+2, 5.932500e-1
4.347568e+2, 6.134400e-1
4.404508e+2, 6.288800e-1
4.480427e+2, 6.443200e-1
4.546857e+2, 6.597600e-1
4.641756e+2, 6.752000e-1
4.708185e+2, 6.906400e-1
4.774615e+2, 7.048900e-1
4.831554e+2, 7.203300e-1
4.907473e+2, 7.357700e-1
4.992883e+2, 7.512100e-1
5.040332e+2, 7.619000e-1
5.116252e+2, 7.773300e-1
5.230131e+2, 7.915900e-1
5.334520e+2, 8.117800e-1
5.457889e+2, 8.200900e-1
5.562278e+2, 8.343400e-1
5.638197e+2, 8.497800e-1
5.733096e+2, 8.652200e-1
5.837485e+2, 8.794700e-1
5.941874e+2, 8.949100e-1
6.027283e+2, 9.056000e-1
6.103203e+2, 9.210400e-1
6.188612e+2, 9.364800e-1
6.311981e+2, 9.483600e-1
6.435350e+2, 9.590400e-1
6.549229e+2, 9.733000e-1
6.672598e+2, 9.816100e-1
6.795967e+2, 9.958600e-1
6.938315e+2, 9.982400e-1
7.033215e+2, 9.881200e-1
7.118624e+2, 9.804200e-1
7.232503e+2, 9.673600e-1
7.317912e+2, 9.519200e-1
7.374852e+2, 9.364800e-1
7.441281e+2, 9.210400e-1
7.517201e+2, 9.056000e-1
7.583630e+2, 8.866000e-1
7.640569e+2, 8.711600e-1
7.697509e+2, 8.557200e-1
7.744959e+2, 8.402800e-1
7.801898e+2, 8.248400e-1
7.858837e+2, 8.094000e-1
7.896797e+2, 7.957200e-1
7.925267e+2, 7.844600e-1
7.972717e+2, 7.690200e-1
8.029656e+2, 7.523900e-1
8.067616e+2, 7.369500e-1
8.105575e+2, 7.215100e-1
8.143535e+2, 7.060800e-1
8.172005e+2, 6.953900e-1
8.219454e+2, 6.799500e-1
8.257414e+2, 6.645100e-1
8.314353e+2, 6.490700e-1
8.352313e+2, 6.336300e-1
8.380783e+2, 6.181900e-1
8.428233e+2, 6.027500e-1
8.466192e+2, 5.861200e-1
8.504152e+2, 5.706800e-1
8.551601e+2, 5.552400e-1
8.599051e+2, 5.398000e-1
8.646501e+2, 5.243700e-1
8.684460e+2, 5.089300e-1
8.722420e+2, 4.952500e-1
8.741400e+2, 4.851700e-1
8.788849e+2, 4.697300e-1
8.826809e+2, 4.542900e-1
8.883749e+2, 4.388500e-1
8.931198e+2, 4.263700e-1
8.959668e+2, 4.127300e-1
9.007117e+2, 3.954900e-1
9.045077e+2, 3.806600e-1
9.083037e+2, 3.652200e-1
9.130486e+2, 3.497800e-1
9.177936e+2, 3.343400e-1
9.234875e+2, 3.189000e-1
9.272835e+2, 3.034600e-1
9.301305e+2, 2.939600e-1
9.348754e+2, 2.785200e-1
9.396204e+2, 2.630800e-1
9.443654e+2, 2.476400e-1
9.500593e+2, 2.322000e-1
9.557533e+2, 2.167600e-1
9.614472e+2, 2.013200e-1
9.661922e+2, 1.858900e-1
9.718861e+2, 1.704500e-1
9.794781e+2, 1.550100e-1
9.861210e+2, 1.395700e-1
9.927639e+2, 1.241300e-1
9.975089e+2, 1.146300e-1
1.006050e+3, 9.976000e-2
1.012693e+3, 8.612000e-2
1.021234e+3, 7.068000e-2
1.031673e+3, 5.524000e-2
1.044009e+3, 4.099000e-2
1.056346e+3, 2.793000e-2
1.068683e+3, 1.961000e-2
1.081020e+3, 1.368000e-2
1.092408e+3, 1.069000e-2
