Wavelength (nm);Responsivity (A/W)
329.01896;0.05106
333.63561;0.05193
338.25227;0.05279
342.86892;0.05279
347.48557;0.05193
352.10223;0.05279
356.71888;0.05279
361.33553;0.05366
365.95218;0.05539
370.56884;0.05712
375.18549;0.05885
379.80214;0.06145
384.4188;0.06404
389.03545;0.0675
393.6521;0.07097
398.26876;0.07529
402.88541;0.07962
407.50206;0.08481
412.11871;0.08914
416.73537;0.09519
421.35202;0.10038
425.96867;0.10644
430.58533;0.1125
435.20198;0.11855
439.81863;0.12461
444.43528;0.13067
448.39242;0.13673
453.00907;0.14278
457.62572;0.14884
461.58285;0.1549
466.19951;0.16095
470.15664;0.16701
474.77329;0.17307
479.38994;0.17912
483.34707;0.18518
487.96373;0.19124
492.58038;0.19729
496.53751;0.20335
501.15416;0.20941
505.77082;0.21546
509.72795;0.22152
513.68508;0.22758
518.30173;0.23364
522.25886;0.23969
526.21599;0.24575
530.83265;0.25181
534.78978;0.25786
538.74691;0.26392
542.70404;0.26998
546.66117;0.27603
550.6183;0.28209
554.57543;0.28815
558.53256;0.2942
562.48969;0.30026
567.10635;0.30632
571.06348;0.31237
575.02061;0.31843
578.97774;0.32449
582.93487;0.33055
586.892;0.3366
591.50866;0.34266
595.46579;0.34872
599.42292;0.35477
603.38005;0.36083
607.9967;0.36689
611.95383;0.37294
616.57049;0.379
620.52762;0.38506
625.14427;0.39111
629.76092;0.39717
633.71805;0.40323
638.33471;0.40928
642.95136;0.41534
647.56801;0.4214
652.18467;0.42745
656.80132;0.43351
661.41797;0.43957
666.03462;0.44563
670.65128;0.45168
675.26793;0.45774
679.88458;0.4638
684.50124;0.46985
689.11789;0.47504
693.73454;0.48024
698.3512;0.48629
702.96785;0.49148
707.5845;0.49668
712.20115;0.50187
716.81781;0.50706
721.43446;0.51225
726.05111;0.51744
730.66777;0.52263
735.28442;0.52696
739.90107;0.53215
744.51772;0.53648
749.13438;0.54167
753.75103;0.546
758.36768;0.55032
762.98434;0.55465
767.60099;0.55898
772.21764;0.5633
776.8343;0.56763
781.45095;0.57109
786.0676;0.57542
790.68425;0.57888
795.30091;0.5832
799.91756;0.58666
804.53421;0.59012
809.15087;0.59359
813.76752;0.59705
818.38417;0.60051
823.00082;0.60397
827.61748;0.60656
832.23413;0.61003
836.85078;0.61262
841.46744;0.61608
846.08409;0.61868
850.70074;0.62127
855.31739;0.62387
859.93405;0.6256
864.5507;0.6282
869.16735;0.63079
873.78401;0.63252
878.40066;0.63425
883.01731;0.63685
887.63397;0.63858
892.25062;0.64031
896.86727;0.64118
901.48392;0.64291
906.10058;0.64464
910.71723;0.6455
915.33388;0.64637
919.95054;0.64723
924.56719;0.6481
929.18384;0.64896
933.80049;0.64983
938.41715;0.65069
943.0338;0.65069
947.65045;0.65069
952.26711;0.65069
956.88376;0.65069
961.50041;0.65069
966.11707;0.64983
970.73372;0.64896
975.35037;0.6481
979.96702;0.64637
984.58368;0.64377
989.20033;0.64118
993.81698;0.63685
998.43364;0.63166
1002.39077;0.6256
1005.68838;0.61954
1008.32646;0.61349
1010.30503;0.60743
1012.28359;0.60137
1013.60264;0.59532
1014.92168;0.58926
1016.24073;0.5832
1016.90025;0.57715
1017.55977;0.57109
1018.21929;0.56503
1018.87881;0.55898
1019.53833;0.55292
1020.19786;0.54686
1020.85738;0.5408
1021.5169;0.53475
1022.17642;0.52869
1022.83594;0.52263
1023.49547;0.51658
1024.15499;0.51052
1024.81451;0.50446
1025.47403;0.49841
1026.13355;0.49235
1026.79308;0.48629
1027.4526;0.48024
1028.11212;0.47418
1028.77164;0.46812
1030.09068;0.46207
1030.75021;0.45601
1031.40973;0.44995
1032.06925;0.44389
1032.72877;0.43784
1033.38829;0.43178
1034.04782;0.42572
1034.70734;0.41967
1035.36686;0.41361
1036.6859;0.40755
1037.34542;0.4015
1038.00495;0.39544
1038.66447;0.38938
1039.98351;0.38333
1040.64303;0.37727
1041.30256;0.37121
1041.96208;0.36516
1043.28112;0.3591
1043.94064;0.35304
1044.60016;0.34699
1045.91921;0.34093
1046.57873;0.33487
1047.23825;0.32881
1048.5573;0.32276
1049.21682;0.3167
1050.53586;0.31064
1051.19538;0.30459
1052.51443;0.29853
1053.83347;0.29247
1054.49299;0.28642
1055.81204;0.28036
1056.47156;0.2743
1057.7906;0.26825
1059.10965;0.26219
1060.42869;0.25613
1061.74773;0.25008
1062.40725;0.24402
1063.7263;0.23796
1065.04534;0.2319
1066.36439;0.22585
1067.68343;0.21979
1069.662;0.21373
1070.98104;0.20768
1072.30008;0.20162
1074.27865;0.19556
1075.59769;0.18951
1077.57626;0.18345
1078.8953;0.17739
1080.87387;0.17134
1082.85243;0.16528
1084.831;0.15922
1087.46908;0.15317
1090.10717;0.14711
1092.08574;0.14105
1095.38335;0.13499
1097.36191;0.12894
