# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 4.925E+05
1.013E-03 4.805E+05
1.027E-03 4.691E+05
1.027E-03 6.122E+05
1.039E-03 9.259E+05
1.051E-03 1.394E+06
1.051E-03 1.731E+06
1.194E-03 1.538E+06
1.357E-03 1.367E+06
1.357E-03 1.575E+06
1.413E-03 1.438E+06
1.471E-03 1.313E+06
1.471E-03 1.393E+06
1.500E-03 1.334E+06
1.653E-03 1.080E+06
1.653E-03 1.129E+06
2.000E-03 7.314E+05
3.000E-03 2.777E+05
4.000E-03 1.358E+05
5.000E-03 7.702E+04
6.000E-03 4.814E+04
6.459E-03 3.974E+04
6.459E-03 1.114E+05
6.730E-03 1.004E+05
7.013E-03 9.043E+04
7.013E-03 1.234E+05
7.217E-03 1.149E+05
7.428E-03 1.071E+05
7.428E-03 1.237E+05
8.000E-03 1.028E+05
1.000E-02 5.789E+04
1.500E-02 1.969E+04
2.000E-02 9.022E+03
3.000E-02 2.946E+03
4.000E-02 1.317E+03
4.518E-02 9.349E+02
4.518E-02 5.305E+03
5.000E-02 4.046E+03
6.000E-02 2.513E+03
8.000E-02 1.154E+03
1.000E-01 6.243E+02
1.500E-01 2.011E+02
2.000E-01 8.984E+01
3.000E-01 2.941E+01
4.000E-01 1.373E+01
5.000E-01 7.810E+00
6.000E-01 5.030E+00
8.000E-01 2.621E+00
1.000E+00 1.640E+00
1.022E+00 1.570E+00
1.250E+00 1.116E+00
1.500E+00 1.025E+00
2.000E+00 1.333E+00
2.044E+00 1.374E+00
3.000E+00 2.369E+00
4.000E+00 3.370E+00
5.000E+00 4.260E+00
6.000E+00 5.038E+00
7.000E+00 5.734E+00
8.000E+00 6.363E+00
9.000E+00 6.937E+00
1.000E+01 7.466E+00
