# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 1.292E+05
1.500E-03 4.427E+04
2.000E-03 2.038E+04
2.472E-03 1.143E+04
2.472E-03 1.101E+05
3.000E-03 7.117E+04
4.000E-03 3.366E+04
5.000E-03 1.849E+04
6.000E-03 1.120E+04
8.000E-03 4.986E+03
1.000E-02 2.625E+03
1.500E-02 7.958E+02
2.000E-02 3.349E+02
3.000E-02 9.657E+01
4.000E-02 3.942E+01
5.000E-02 1.954E+01
6.000E-02 1.097E+01
8.000E-02 4.396E+00
1.000E-01 2.157E+00
1.500E-01 5.934E-01
2.000E-01 2.400E-01
3.000E-01 6.954E-02
4.000E-01 3.020E-02
5.000E-01 1.641E-02
6.000E-01 1.027E-02
8.000E-01 5.206E-03
1.000E+00 3.236E-03
1.022E+00 3.057E-03
1.250E+00 4.259E-03
1.500E+00 1.327E-02
2.000E+00 4.707E-02
2.044E+00 5.063E-02
3.000E+00 1.319E-01
4.000E+00 2.138E-01
5.000E+00 2.874E-01
6.000E+00 3.539E-01
7.000E+00 4.133E-01
8.000E+00 4.670E-01
9.000E+00 5.158E-01
1.000E+01 5.602E-01
