# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 5.957E+05
1.089E-03 5.080E+05
1.185E-03 4.333E+05
1.185E-03 4.789E+05
1.201E-03 7.071E+05
1.217E-03 1.041E+06
1.217E-03 1.255E+06
1.500E-03 1.314E+06
1.544E-03 1.225E+06
1.544E-03 1.416E+06
1.615E-03 1.277E+06
1.688E-03 1.152E+06
1.688E-03 1.223E+06
1.782E-03 1.085E+06
1.881E-03 9.616E+05
1.881E-03 1.004E+06
2.000E-03 8.750E+05
3.000E-03 3.353E+05
4.000E-03 1.648E+05
5.000E-03 9.379E+04
6.000E-03 5.877E+04
7.243E-03 3.606E+04
7.243E-03 9.913E+04
7.579E-03 8.820E+04
7.930E-03 7.847E+04
7.930E-03 1.071E+05
8.000E-03 1.051E+05
8.376E-03 9.372E+04
8.376E-03 1.083E+05
1.000E-02 6.938E+04
1.500E-02 2.376E+04
2.000E-02 1.094E+04
3.000E-02 3.599E+03
4.000E-02 1.617E+03
5.000E-02 8.647E+02
5.024E-02 8.531E+02
5.024E-02 4.724E+03
6.000E-02 2.954E+03
8.000E-02 1.373E+03
1.000E-01 7.473E+02
1.500E-01 2.431E+02
2.000E-01 1.093E+02
3.000E-01 3.604E+01
4.000E-01 1.691E+01
5.000E-01 9.647E+00
6.000E-01 6.226E+00
8.000E-01 3.252E+00
1.000E+00 2.037E+00
1.022E+00 1.949E+00
1.250E+00 1.380E+00
1.500E+00 1.245E+00
2.000E+00 1.555E+00
2.044E+00 1.598E+00
3.000E+00 2.664E+00
4.000E+00 3.744E+00
5.000E+00 4.704E+00
6.000E+00 5.546E+00
7.000E+00 6.297E+00
8.000E+00 6.978E+00
9.000E+00 7.599E+00
1.000E+01 8.171E+00
