# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 6.297E+05
1.114E-03 5.126E+05
1.241E-03 4.174E+05
1.241E-03 6.006E+05
1.258E-03 8.868E+05
1.275E-03 1.309E+06
1.275E-03 1.549E+06
1.500E-03 1.400E+06
1.611E-03 1.176E+06
1.611E-03 1.360E+06
1.688E-03 1.222E+06
1.768E-03 1.097E+06
1.768E-03 1.165E+06
1.865E-03 1.033E+06
1.968E-03 9.164E+05
1.968E-03 9.574E+05
2.000E-03 9.232E+05
3.000E-03 3.553E+05
4.000E-03 1.748E+05
5.000E-03 9.960E+04
6.000E-03 6.246E+04
7.514E-03 3.485E+04
7.514E-03 9.527E+04
8.000E-03 8.148E+04
8.252E-03 7.488E+04
8.252E-03 1.024E+05
8.477E-03 9.584E+04
8.708E-03 8.969E+04
8.708E-03 1.037E+05
1.000E-02 7.331E+04
1.500E-02 2.522E+04
2.000E-02 1.164E+04
3.000E-02 3.837E+03
4.000E-02 1.726E+03
5.000E-02 9.240E+02
5.200E-02 8.278E+02
5.200E-02 4.547E+03
6.000E-02 3.109E+03
8.000E-02 1.452E+03
1.000E-01 7.918E+02
1.500E-01 2.583E+02
2.000E-01 1.163E+02
3.000E-01 3.847E+01
4.000E-01 1.808E+01
5.000E-01 1.033E+01
6.000E-01 6.669E+00
8.000E-01 3.486E+00
1.000E+00 2.184E+00
1.022E+00 2.090E+00
1.250E+00 1.478E+00
1.500E+00 1.326E+00
2.000E+00 1.635E+00
2.044E+00 1.680E+00
3.000E+00 2.767E+00
4.000E+00 3.873E+00
5.000E+00 4.857E+00
6.000E+00 5.719E+00
7.000E+00 6.491E+00
8.000E+00 7.188E+00
9.000E+00 7.825E+00
1.000E+01 8.411E+00
