molecule,input_format,input_description,task_description,task_type
Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CCC(=O)N(c1ccccc1)C2(CCN(CCc3sccc3)CC2)COC,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CN1CCN(CC1)C2=C3C=CC=CC3=Nc4ccc(Cl)cc4N2,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
IC1=C(N([H])[H])C=CC(C2=NC3=CC=C(O[H])C=C3S2)=C1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CN1[C@H]2CCC[C@@H]1CC(C2)NC(=O)c3nn(C)c4ccccc34,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CN(C)Cc1ccc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)o1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CN(C)Cc1ccc(CSCCNC2=C([N+]([O-])=O)C(Cc3ccccc3)=CN2)o1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
[Cl-].CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13.[H+],smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
ClC1=CC=CC(OC2CCN(CCC3CCCN3S(C4=CC(N([H])C=C5)=C5C=C4)(=O)=O)CC2)=C1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CN(C)Cc1ccnc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)c1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CN1C(=O)N(C)c2nc[nH]c2C1=O.CN3C(=O)N(C)c4nc[nH]c4C3=O.NCCN,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
OC(=O)CCC(O)=O.FC(F)(F)c1ccc2Sc3ccccc3N(CCCN4CCN(CCC5OCCCO5)CC4)c2c1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
O=C1Nc2ccccc2N1C3CCN(CCOc4ccccc4)CC3,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CN1CCCC(C1)CN2c3ccccc3Sc4ccccc24,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
C[C@@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC=C(C)C,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
[Na+].CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C(O)=O,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
C1CCN(CC1)C2(CCCCC2)c3ccccc3,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
OC[C@H]1O[C@H](C[C@@H]1O)n2cnc3[C@H](O)CN=CNc23,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
N[S](=O)(=O)c1cc2c(NC=N[S]2(=O)=O)cc1Cl,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
OCC[C@@H]1CCN(CC\C=C2/c3ccc(F)cc3Sc4ccc(cc24)C(F)(F)F)CC1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
OCCN1CCN(CC\C=C/2c3ccccc3COc4ccc(Cl)cc24)CC1,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
CCC1(C(=O)NCNC1=O)c2ccccc2,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
OC(CCN1CCCC1)(C2CCCCC2)c3ccccc3,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
O=C1CN(CC2N1CCc3ccccc23)C(=O)C4CCCCC4,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
NC1[C@H]2CN(C[C@@H]12)c3nc4N(C=C(C(O)=O)C(=O)c4cc3F)c5ccc(F)cc5F,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@H]3[C@H](CC(=O)[C@]12C)[C@@]4(C)CCC(=O)C[C@H]4CC3=O,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@@H](CC[C@]67O)C8=CC(=O)OC8)C4,smiles,the small molecule,the blood-brain barrier permeability (BBBP) value,classification
