# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 7.10000E+01
2.47969E-05 7.10000E+01
4.95937E-05 7.09836E+01
9.91875E-05 7.09673E+01
1.23984E-04 7.09620E+01
1.85976E-04 7.09368E+01
2.47969E-04 7.09190E+01
3.71953E-04 7.08650E+01
4.64941E-04 7.07901E+01
4.95937E-04 7.07610E+01
5.88926E-04 7.06601E+01
6.19922E-04 7.06300E+01
6.27361E-04 7.06202E+01
7.12910E-04 7.05150E+01
7.43906E-04 7.04730E+01
8.52392E-04 7.03104E+01
9.45381E-04 7.01608E+01
9.91875E-04 7.00890E+01
1.11586E-03 6.98778E+01
1.23984E-03 6.96450E+01
1.36383E-03 6.93865E+01
1.45682E-03 6.91797E+01
1.59630E-03 6.88557E+01
1.61180E-03 6.88170E+01
1.73578E-03 6.85210E+01
1.85976E-03 6.82130E+01
2.04574E-03 6.77490E+01
2.23172E-03 6.72800E+01
2.47969E-03 6.66350E+01
3.09961E-03 6.49890E+01
3.71953E-03 6.33010E+01
4.33945E-03 6.16460E+01
4.95937E-03 5.99510E+01
5.57929E-03 5.82250E+01
5.88926E-03 5.73546E+01
6.19922E-03 5.64950E+01
6.64792E-03 5.51932E+01
7.12910E-03 5.39213E+01
7.43906E-03 5.30790E+01
8.05898E-03 5.14055E+01
8.67890E-03 4.97779E+01
8.98886E-03 4.89841E+01
9.91875E-03 4.66930E+01
1.05204E-02 4.52508E+01
1.11586E-02 4.38532E+01
1.17622E-02 4.25260E+01
1.23984E-02 4.12390E+01
1.30036E-02 4.00126E+01
1.36383E-02 3.88226E+01
1.42582E-02 3.76772E+01
1.48781E-02 3.65750E+01
1.54856E-02 3.55095E+01
1.61180E-02 3.44750E+01
1.73578E-02 3.25130E+01
1.82640E-02 3.11343E+01
1.92176E-02 2.98140E+01
1.98375E-02 2.89830E+01
2.10408E-02 2.74362E+01
2.23172E-02 2.59720E+01
2.35244E-02 2.46809E+01
2.47969E-02 2.34540E+01
2.58854E-02 2.25021E+01
2.76085E-02 2.11461E+01
2.94463E-02 1.98719E+01
3.09961E-02 1.89560E+01
3.25090E-02 1.81908E+01
3.40957E-02 1.74564E+01
3.56455E-02 1.68344E+01
3.71953E-02 1.62790E+01
3.98158E-02 1.54501E+01
4.26209E-02 1.46635E+01
4.33945E-02 1.44519E+01
4.64941E-02 1.36112E+01
4.72703E-02 1.33997E+01
4.88201E-02 1.29733E+01
4.95937E-02 1.27590E+01
5.10758E-02 1.23197E+01
5.33823E-02 1.16889E+01
5.57929E-02 1.10904E+01
5.88109E-02 1.04197E+01
6.19922E-02 9.78960E+00
6.53869E-02 9.25212E+00
6.89675E-02 8.74414E+00
7.09042E-02 8.45052E+00
7.12910E-02 8.38909E+00
7.32276E-02 8.07063E+00
7.43906E-02 7.86730E+00
7.59404E-02 7.58325E+00
7.75813E-02 7.27520E+00
8.01094E-02 6.83643E+00
8.27199E-02 6.42412E+00
8.47557E-02 6.15821E+00
8.67890E-02 5.94500E+00
8.90158E-02 5.77197E+00
9.20683E-02 5.60314E+00
9.91875E-02 5.30480E+00
1.02287E-01 5.15250E+00
1.05000E-01 5.00570E+00
1.09746E-01 4.73190E+00
1.14961E-01 4.44903E+00
1.20424E-01 4.18307E+00
1.23984E-01 4.02430E+00
1.27689E-01 3.88783E+00
1.33456E-01 3.69174E+00
1.39482E-01 3.50555E+00
1.45682E-01 3.31453E+00
1.48781E-01 3.21610E+00
1.54980E-01 3.01346E+00
1.60688E-01 2.83707E+00
1.66605E-01 2.67100E+00
1.71255E-01 2.56128E+00
1.73578E-01 2.51340E+00
1.79777E-01 2.40716E+00
1.85499E-01 2.32215E+00
1.91402E-01 2.24014E+00
1.96051E-01 2.17046E+00
1.98375E-01 2.13340E+00
2.01475E-01 2.08086E+00
2.07287E-01 1.97672E+00
2.12373E-01 1.88380E+00
2.17729E-01 1.78666E+00
2.21834E-01 1.71710E+00
2.28138E-01 1.61782E+00
2.34621E-01 1.52427E+00
2.41293E-01 1.44203E+00
2.47969E-01 1.37340E+00
2.51837E-01 1.33992E+00
2.59350E-01 1.28609E+00
2.66393E-01 1.24623E+00
2.76088E-01 1.20407E+00
2.79163E-01 1.19315E+00
3.08517E-01 1.13384E+00
3.40957E-01 1.07747E+00
3.71953E-01 1.02300E+00
3.86955E-01 9.88317E-01
4.00593E-01 9.53356E-01
4.18075E-01 9.05830E-01
4.37541E-01 8.51739E-01
4.50130E-01 8.16250E-01
4.63081E-01 7.82239E-01
4.79228E-01 7.39666E-01
4.95937E-01 6.99410E-01
5.12906E-01 6.59887E-01
5.30455E-01 6.22597E-01
5.46744E-01 5.89463E-01
5.63534E-01 5.58093E-01
5.84279E-01 5.21257E-01
6.05787E-01 4.86852E-01
6.25286E-01 4.57405E-01
6.45413E-01 4.29740E-01
6.58773E-01 4.12028E-01
6.79334E-01 3.86819E-01
7.00536E-01 3.63152E-01
7.17200E-01 3.45440E-01
7.34260E-01 3.28591E-01
7.49570E-01 3.14006E-01
7.73136E-01 2.93332E-01
7.97442E-01 2.74020E-01
8.10921E-01 2.63743E-01
8.31567E-01 2.49045E-01
8.52739E-01 2.35167E-01
8.67890E-01 2.25713E-01
8.94691E-01 2.10025E-01
9.22319E-01 1.95428E-01
9.50973E-01 1.81416E-01
9.80518E-01 1.68408E-01
1.00289E+00 1.59138E-01
1.02001E+00 1.52523E-01
1.04624E+00 1.43111E-01
1.07313E+00 1.34280E-01
1.09339E+00 1.27930E-01
1.12451E+00 1.18963E-01
1.15650E+00 1.10625E-01
1.17680E+00 1.05623E-01
1.20791E+00 9.85411E-02
1.23984E+00 9.19340E-02
1.26246E+00 8.75132E-02
1.29717E+00 8.12773E-02
1.33283E+00 7.54858E-02
1.35272E+00 7.24413E-02
1.38311E+00 6.81033E-02
1.41419E+00 6.40251E-02
1.44852E+00 5.98191E-02
1.47481E+00 5.68469E-02
1.51514E+00 5.26632E-02
1.55657E+00 4.87874E-02
1.58180E+00 4.65713E-02
1.60420E+00 4.47150E-02
1.64417E+00 4.16426E-02
1.67481E+00 3.94777E-02
1.69816E+00 3.79282E-02
1.73379E+00 3.57173E-02
1.77017E+00 3.36352E-02
1.79556E+00 3.22592E-02
1.84086E+00 2.99854E-02
1.87559E+00 2.83858E-02
1.90206E+00 2.72423E-02
1.94248E+00 2.56129E-02
1.98375E+00 2.40810E-02
2.01161E+00 2.31095E-02
2.06491E+00 2.13922E-02
2.11270E+00 1.99946E-02
2.15542E+00 1.88469E-02
2.19351E+00 1.78967E-02
2.22740E+00 1.71048E-02
2.25747E+00 1.64406E-02
2.31109E+00 1.53397E-02
2.35213E+00 1.45627E-02
2.38339E+00 1.40059E-02
2.43106E+00 1.32104E-02
2.47969E+00 1.24600E-02
2.53392E+00 1.16919E-02
2.58583E+00 1.10148E-02
2.63547E+00 1.04157E-02
2.68287E+00 9.88369E-03
2.72808E+00 9.40962E-03
2.77116E+00 8.98586E-03
2.81216E+00 8.60593E-03
2.85115E+00 8.26435E-03
2.92572E+00 7.66000E-03
2.99257E+00 7.16756E-03
3.05232E+00 6.76272E-03
3.10557E+00 6.42729E-03
3.15293E+00 6.14746E-03
3.19496E+00 5.91262E-03
3.26986E+00 5.52303E-03
3.32719E+00 5.24778E-03
3.41508E+00 4.86041E-03
3.50529E+00 4.50164E-03
3.56540E+00 4.28349E-03
3.62269E+00 4.08859E-03
3.67724E+00 3.91394E-03
3.72913E+00 3.75698E-03
3.82839E+00 3.47944E-03
3.91741E+00 3.25347E-03
3.99700E+00 3.06782E-03
4.06797E+00 2.91409E-03
4.13110E+00 2.78590E-03
4.18714E+00 2.67838E-03
4.28705E+00 2.50009E-03
4.36354E+00 2.37421E-03
4.42181E+00 2.28398E-03
4.51066E+00 2.15502E-03
4.60131E+00 2.03334E-03
4.70434E+00 1.90680E-03
4.80302E+00 1.79533E-03
4.89742E+00 1.69675E-03
4.98760E+00 1.60925E-03
5.07365E+00 1.53133E-03
5.15567E+00 1.46170E-03
5.23377E+00 1.39931E-03
5.30806E+00 1.34323E-03
5.45022E+00 1.24408E-03
5.57772E+00 1.16334E-03
5.69173E+00 1.09701E-03
5.79340E+00 1.04208E-03
5.88384E+00 9.96273E-04
5.96414E+00 9.57848E-04
6.10732E+00 8.94137E-04
6.21694E+00 8.49150E-04
6.30045E+00 8.16902E-04
6.42783E+00 7.70811E-04
6.55778E+00 7.27321E-04
6.68121E+00 6.89261E-04
6.79904E+00 6.55390E-04
6.91140E+00 6.25150E-04
7.01841E+00 5.98068E-04
7.12024E+00 5.73745E-04
7.21705E+00 5.51842E-04
7.40213E+00 5.13001E-04
7.56796E+00 4.81265E-04
7.71611E+00 4.55111E-04
7.84811E+00 4.33394E-04
7.96547E+00 4.15244E-04
8.17508E+00 3.85291E-04
8.33591E+00 3.64253E-04
8.45860E+00 3.49232E-04
8.64602E+00 3.27854E-04
8.83760E+00 3.07784E-04
9.04581E+00 2.87933E-04
9.24545E+00 2.70486E-04
9.43662E+00 2.55092E-04
9.61942E+00 2.41456E-04
9.79402E+00 2.29335E-04
9.96058E+00 2.18525E-04
1.01193E+01 2.08854E-04
1.02704E+01 2.00176E-04
1.04141E+01 1.92369E-04
1.06890E+01 1.78541E-04
1.09355E+01 1.67259E-04
1.11558E+01 1.57975E-04
1.13522E+01 1.50274E-04
1.15269E+01 1.43845E-04
1.18391E+01 1.33248E-04
1.20788E+01 1.25816E-04
1.22618E+01 1.20515E-04
1.25414E+01 1.12980E-04
1.28274E+01 1.05916E-04
1.31381E+01 9.89486E-05
1.34362E+01 9.28335E-05
1.37218E+01 8.74443E-05
1.39951E+01 8.26764E-05
1.42562E+01 7.84429E-05
1.45055E+01 7.46711E-05
1.47431E+01 7.12998E-05
1.49694E+01 6.82777E-05
1.51847E+01 6.55609E-05
1.55968E+01 6.07548E-05
1.59665E+01 5.68394E-05
1.62972E+01 5.36210E-05
1.65922E+01 5.09548E-05
1.68547E+01 4.87308E-05
1.70878E+01 4.68645E-05
1.75035E+01 4.37690E-05
1.78218E+01 4.15823E-05
1.83103E+01 3.85053E-05
1.88121E+01 3.56560E-05
1.91397E+01 3.39579E-05
1.94520E+01 3.24395E-05
1.97494E+01 3.10777E-05
2.00323E+01 2.98529E-05
2.05738E+01 2.76851E-05
2.10596E+01 2.59179E-05
2.14941E+01 2.44643E-05
2.18816E+01 2.32594E-05
2.22263E+01 2.22540E-05
2.25325E+01 2.14099E-05
2.30784E+01 2.00091E-05
2.34965E+01 1.90190E-05
2.41379E+01 1.76249E-05
2.47969E+01 1.63330E-05
2.52579E+01 1.55083E-05
2.56979E+01 1.47730E-05
2.61174E+01 1.41153E-05
2.65169E+01 1.35253E-05
2.68969E+01 1.29947E-05
2.76243E+01 1.20552E-05
2.82768E+01 1.12890E-05
2.88604E+01 1.06586E-05
2.93810E+01 1.01360E-05
2.98441E+01 9.69979E-06
3.02554E+01 9.33351E-06
3.09887E+01 8.72551E-06
3.15504E+01 8.29564E-06
3.24121E+01 7.69021E-06
3.32972E+01 7.12897E-06
3.38178E+01 6.82645E-06
3.43299E+01 6.54563E-06
3.48333E+01 6.28460E-06
3.53281E+01 6.04166E-06
3.63068E+01 5.59737E-06
3.72489E+01 5.21057E-06
3.81544E+01 4.87225E-06
3.90232E+01 4.57506E-06
3.98557E+01 4.31293E-06
4.06523E+01 4.08083E-06
4.14135E+01 3.87460E-06
4.21401E+01 3.69074E-06
4.28329E+01 3.52629E-06
4.34927E+01 3.37879E-06
4.41205E+01 3.24611E-06
4.53222E+01 3.01122E-06
4.64005E+01 2.81968E-06
4.73650E+01 2.66211E-06
4.82254E+01 2.53147E-06
4.89910E+01 2.42243E-06
4.96709E+01 2.33088E-06
5.08835E+01 2.17891E-06
5.18124E+01 2.07148E-06
5.32375E+01 1.92017E-06
5.47019E+01 1.77992E-06
5.58135E+01 1.68339E-06
5.69118E+01 1.59486E-06
5.79965E+01 1.51355E-06
5.90669E+01 1.43873E-06
6.01228E+01 1.36978E-06
6.11636E+01 1.30614E-06
6.21892E+01 1.24731E-06
6.31990E+01 1.19284E-06
6.41929E+01 1.14235E-06
6.51707E+01 1.09547E-06
6.61321E+01 1.05189E-06
6.70770E+01 1.01133E-06
6.89463E+01 9.37136E-07
7.07461E+01 8.72533E-07
7.24761E+01 8.16017E-07
7.41363E+01 7.66363E-07
