# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 6.60000E+01
2.47969E-05 6.60000E+01
4.95937E-05 6.59854E+01
9.91875E-05 6.59707E+01
1.23984E-04 6.59660E+01
1.85976E-04 6.59385E+01
2.47969E-04 6.59190E+01
3.40957E-04 6.58750E+01
3.71953E-04 6.58540E+01
4.64941E-04 6.57731E+01
4.95937E-04 6.57420E+01
5.88926E-04 6.56395E+01
6.19922E-04 6.56020E+01
6.27361E-04 6.55915E+01
7.12910E-04 6.54788E+01
7.43906E-04 6.54340E+01
8.52392E-04 6.52645E+01
9.45381E-04 6.51028E+01
9.91875E-04 6.50280E+01
1.10036E-03 6.48318E+01
1.19335E-03 6.46502E+01
1.23984E-03 6.45620E+01
1.36383E-03 6.42944E+01
1.45682E-03 6.40823E+01
1.59630E-03 6.37528E+01
1.61180E-03 6.37139E+01
1.73578E-03 6.34160E+01
1.85976E-03 6.31088E+01
2.04574E-03 6.26502E+01
2.23172E-03 6.21800E+01
2.47969E-03 6.15380E+01
3.09961E-03 5.99390E+01
3.71953E-03 5.82900E+01
4.33945E-03 5.66350E+01
4.95937E-03 5.49380E+01
5.57929E-03 5.31981E+01
6.19922E-03 5.14580E+01
6.64792E-03 5.01663E+01
7.12910E-03 4.89070E+01
7.43906E-03 4.80790E+01
7.96304E-03 4.66623E+01
8.52392E-03 4.52873E+01
8.67890E-03 4.49065E+01
9.27814E-03 4.34346E+01
9.91875E-03 4.20110E+01
1.05204E-02 4.06808E+01
1.11586E-02 3.93927E+01
1.17622E-02 3.81812E+01
1.23984E-02 3.70070E+01
1.30036E-02 3.58933E+01
1.36383E-02 3.48131E+01
1.42582E-02 3.37758E+01
1.48781E-02 3.27790E+01
1.57806E-02 3.13510E+01
1.67379E-02 2.99853E+01
1.73578E-02 2.91240E+01
1.82640E-02 2.79008E+01
1.92176E-02 2.67289E+01
1.98375E-02 2.59980E+01
2.10408E-02 2.46627E+01
2.23172E-02 2.33960E+01
2.35244E-02 2.23114E+01
2.47969E-02 2.12770E+01
2.63010E-02 2.02098E+01
2.78965E-02 1.91962E+01
2.94463E-02 1.83456E+01
3.09961E-02 1.75950E+01
3.32396E-02 1.66717E+01
3.56455E-02 1.57968E+01
3.71953E-02 1.52960E+01
3.87141E-02 1.48276E+01
4.02949E-02 1.43736E+01
4.14579E-02 1.40419E+01
4.43641E-02 1.32142E+01
4.49443E-02 1.30481E+01
4.66503E-02 1.25553E+01
4.86118E-02 1.19785E+01
4.95937E-02 1.16860E+01
5.11435E-02 1.12214E+01
5.34177E-02 1.05518E+01
5.57929E-02 9.92207E+00
5.79230E-02 9.41467E+00
6.06358E-02 8.86625E+00
6.19922E-02 8.63560E+00
6.57526E-02 8.11649E+00
6.97412E-02 7.62859E+00
7.20671E-02 7.32814E+00
7.38104E-02 7.08367E+00
7.43906E-02 6.99870E+00
