# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 9.20000E+01
2.47969E-05 9.20000E+01
4.95937E-05 9.19823E+01
9.91875E-05 9.19647E+01
1.23984E-04 9.19590E+01
1.85976E-04 9.19210E+01
2.32471E-04 9.19001E+01
2.47969E-04 9.18940E+01
3.09961E-04 9.18470E+01
3.71953E-04 9.17970E+01
4.64941E-04 9.16859E+01
4.95937E-04 9.16430E+01
5.88926E-04 9.15002E+01
6.19922E-04 9.14480E+01
6.27361E-04 9.14335E+01
7.12910E-04 9.12777E+01
7.43906E-04 9.12160E+01
8.05898E-04 9.10785E+01
8.98886E-04 9.08671E+01
9.91875E-04 9.06540E+01
1.10036E-03 9.03795E+01
1.19335E-03 9.01261E+01
1.23984E-03 9.00030E+01
1.36383E-03 8.96318E+01
1.45682E-03 8.93381E+01
1.59630E-03 8.88820E+01
1.61180E-03 8.88280E+01
1.73578E-03 8.84150E+01
1.95275E-03 8.76713E+01
2.23172E-03 8.66900E+01
2.47969E-03 8.57880E+01
3.09961E-03 8.35490E+01
3.71953E-03 8.12640E+01
4.33945E-03 7.89780E+01
4.95937E-03 7.67060E+01
5.40435E-03 7.49916E+01
5.88926E-03 7.33155E+01
6.19922E-03 7.22210E+01
6.64792E-03 7.06193E+01
7.12910E-03 6.90531E+01
7.43906E-03 6.80500E+01
7.96304E-03 6.63669E+01
8.52392E-03 6.47255E+01
8.67890E-03 6.42794E+01
9.45381E-03 6.21067E+01
9.91875E-03 6.08640E+01
1.05204E-02 5.92826E+01
1.11586E-02 5.77423E+01
1.17785E-02 5.62648E+01
1.23984E-02 5.48420E+01
1.36383E-02 5.21201E+01
1.48781E-02 4.95680E+01
1.57806E-02 4.77760E+01
1.67379E-02 4.60487E+01
1.73578E-02 4.49610E+01
1.85563E-02 4.29359E+01
1.98375E-02 4.10020E+01
2.10408E-02 3.92689E+01
2.23172E-02 3.76090E+01
2.35244E-02 3.61018E+01
2.47969E-02 3.46550E+01
2.61181E-02 3.31906E+01
2.75096E-02 3.17881E+01
2.78965E-02 3.14022E+01
2.98331E-02 2.95490E+01
3.09961E-02 2.84880E+01
3.23240E-02 2.72915E+01
3.37089E-02 2.61453E+01
3.56455E-02 2.45979E+01
3.60323E-02 2.42990E+01
3.71953E-02 2.34330E+01
3.84832E-02 2.24959E+01
4.04992E-02 2.11600E+01
4.26209E-02 1.99035E+01
4.45154E-02 1.88868E+01
4.64941E-02 1.79221E+01
4.72703E-02 1.75767E+01
4.95937E-02 1.66330E+01
5.16811E-02 1.59125E+01
5.38563E-02 1.52233E+01
5.67625E-02 1.44513E+01
5.88926E-02 1.39666E+01
6.02489E-02 1.36866E+01
6.19922E-02 1.33590E+01
6.57526E-02 1.27322E+01
6.97412E-02 1.21349E+01
7.12910E-02 1.18955E+01
7.28408E-02 1.16474E+01
7.43906E-02 1.13920E+01
7.66137E-02 1.09841E+01
8.00734E-02 1.03994E+01
8.36894E-02 9.84584E+00
8.67890E-02 9.42650E+00
9.05807E-02 9.00560E+00
9.45381E-02 8.60349E+00
9.76377E-02 8.27975E+00
9.91875E-02 8.10740E+00
1.02287E-01 7.73802E+00
1.05000E-01 7.40347E+00
1.07347E-01 7.10967E+00
1.09746E-01 6.82753E+00
1.13695E-01 6.38751E+00
1.17785E-01 5.97585E+00
1.18646E-01 5.89695E+00
1.22204E-01 5.60040E+00
1.23984E-01 5.46920E+00
1.28440E-01 5.19010E+00
1.32170E-01 4.99723E+00
1.38101E-01 4.74365E+00
1.43342E-01 4.55721E+00
1.48781E-01 4.37810E+00
1.54627E-01 4.20201E+00
1.63829E-01 3.95106E+00
1.73578E-01 3.71510E+00
1.79670E-01 3.58599E+00
1.85976E-01 3.46137E+00
1.92176E-01 3.33521E+00
1.98375E-01 3.20160E+00
2.04574E-01 3.05902E+00
2.10000E-01 2.93131E+00
2.16120E-01 2.78289E+00
2.20826E-01 2.67653E+00
2.28079E-01 2.52456E+00
2.35570E-01 2.38122E+00
2.41690E-01 2.27557E+00
2.47969E-01 2.17460E+00
2.53596E-01 2.09787E+00
2.59350E-01 2.02385E+00
2.69790E-01 1.91111E+00
2.82560E-01 1.79839E+00
2.98629E-01 1.68567E+00
3.09961E-01 1.62050E+00
3.12069E-01 1.60935E+00
3.22591E-01 1.55980E+00
3.33468E-01 1.51177E+00
3.47601E-01 1.45994E+00
3.62332E-01 1.40988E+00
3.71953E-01 1.38100E+00
3.89973E-01 1.33116E+00
4.18654E-01 1.25974E+00
4.49443E-01 1.19216E+00
4.80439E-01 1.12624E+00
4.95937E-01 1.09400E+00
5.12906E-01 1.05787E+00
5.30455E-01 1.02294E+00
5.46744E-01 9.89509E-01
5.63534E-01 9.57171E-01
5.84279E-01 9.16498E-01
6.05787E-01 8.77554E-01
6.25286E-01 8.42052E-01
6.45413E-01 8.07986E-01
6.63412E-01 7.77724E-01
6.81914E-01 7.48595E-01
6.82583E-01 7.47541E-01
7.07699E-01 7.08649E-01
7.33739E-01 6.71781E-01
7.56834E-01 6.39883E-01
7.80655E-01 6.09500E-01
8.08848E-01 5.74706E-01
8.38060E-01 5.41899E-01
8.55556E-01 5.22630E-01
8.82488E-01 4.95004E-01
9.10268E-01 4.68838E-01
9.39986E-01 4.41927E-01
9.70673E-01 4.16561E-01
1.00376E+00 3.90678E-01
1.03797E+00 3.66403E-01
1.07342E+00 3.42760E-01
1.11008E+00 3.20642E-01
1.13111E+00 3.08480E-01
1.16339E+00 2.91095E-01
1.19660E+00 2.74691E-01
1.21803E+00 2.64574E-01
1.23984E+00 2.54830E-01
1.26246E+00 2.45041E-01
