# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 6.10000E+01
2.47969E-05 6.10000E+01
4.95937E-05 6.09858E+01
9.91875E-05 6.09716E+01
1.23984E-04 6.09670E+01
1.85976E-04 6.09366E+01
2.47969E-04 6.09150E+01
3.09961E-04 6.08789E+01
3.71953E-04 6.08400E+01
4.64941E-04 6.07517E+01
4.95937E-04 6.07180E+01
5.88926E-04 6.06067E+01
6.19922E-04 6.05660E+01
6.27361E-04 6.05546E+01
7.12910E-04 6.04325E+01
7.43906E-04 6.03840E+01
8.05898E-04 6.02762E+01
8.98886E-04 6.01142E+01
9.91875E-04 5.99450E+01
1.10036E-03 5.97326E+01
1.19335E-03 5.95411E+01
1.23984E-03 5.94420E+01
1.36383E-03 5.91549E+01
1.45682E-03 5.89264E+01
1.59630E-03 5.85806E+01
1.61180E-03 5.85431E+01
1.73578E-03 5.82280E+01
1.85976E-03 5.79060E+01
2.04574E-03 5.74264E+01
2.23172E-03 5.69360E+01
2.47969E-03 5.62690E+01
3.09961E-03 5.46320E+01
3.71953E-03 5.29620E+01
4.33945E-03 5.12870E+01
4.95937E-03 4.95980E+01
5.57929E-03 4.78890E+01
5.88926E-03 4.70372E+01
6.19922E-03 4.62040E+01
6.64792E-03 4.49758E+01
7.12910E-03 4.37802E+01
7.43906E-03 4.30120E+01
7.96304E-03 4.17158E+01
8.52392E-03 4.04586E+01
9.45381E-03 3.84604E+01
9.91875E-03 3.75260E+01
1.05204E-02 3.63512E+01
1.11586E-02 3.52132E+01
1.17622E-02 3.41459E+01
1.23984E-02 3.31110E+01
1.30036E-02 3.21273E+01
1.36383E-02 3.11729E+01
1.42447E-02 3.02601E+01
1.48781E-02 2.93740E+01
1.57806E-02 2.81162E+01
1.67379E-02 2.69123E+01
1.73578E-02 2.61560E+01
1.85563E-02 2.47677E+01
1.98375E-02 2.34530E+01
2.10408E-02 2.23254E+01
2.23172E-02 2.12520E+01
2.35244E-02 2.03535E+01
2.47969E-02 1.94930E+01
2.63010E-02 1.86168E+01
2.78965E-02 1.77799E+01
2.94463E-02 1.70644E+01
3.09961E-02 1.64150E+01
3.25090E-02 1.58304E+01
3.40957E-02 1.52666E+01
3.56455E-02 1.47386E+01
3.71953E-02 1.42320E+01
3.86211E-02 1.37638E+01
4.01015E-02 1.33110E+01
4.24746E-02 1.25743E+01
4.26209E-02 1.25296E+01
4.50162E-02 1.17897E+01
4.73050E-02 1.10857E+01
4.95937E-02 1.03860E+01
5.11201E-02 9.91573E+00
5.26933E-02 9.46675E+00
5.49689E-02 8.86383E+00
5.73428E-02 8.29931E+00
5.88926E-02 7.98450E+00
5.96687E-02 7.84191E+00
6.19922E-02 7.47470E+00
6.35420E-02 7.27756E+00
6.68458E-02 6.93336E+00
7.03214E-02 6.60544E+00
7.30342E-02 6.33372E+00
7.43906E-02 6.18600E+00
7.59404E-02 6.00578E+00
7.92577E-02 5.60887E+00
8.27199E-02 5.23819E+00
8.54326E-02 4.99681E+00
8.67890E-02 4.89740E+00
8.83388E-02 4.80196E+00
9.10516E-02 4.66951E+00
9.50325E-02 4.51789E+00
9.91875E-02 4.37120E+00
1.02287E-01 4.24919E+00
1.05000E-01 4.13460E+00
1.09746E-01 3.92505E+00
1.12817E-01 3.78481E+00
1.15975E-01 3.64958E+00
1.17785E-01 3.57194E+00
1.20845E-01 3.44304E+00
