# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 4.90000E+01
2.47969E-05 4.90000E+01
4.95937E-05 4.89914E+01
9.91875E-05 4.89828E+01
1.23984E-04 4.89800E+01
1.66603E-04 4.89659E+01
1.95662E-04 4.89583E+01
2.30534E-04 4.89505E+01
2.47969E-04 4.89470E+01
3.09961E-04 4.89238E+01
3.71953E-04 4.88990E+01
4.95937E-04 4.88210E+01
6.19922E-04 4.87220E+01
6.27361E-04 4.87142E+01
7.43906E-04 4.86030E+01
8.67890E-04 4.84622E+01
9.91875E-04 4.83080E+01
1.11586E-03 4.81385E+01
1.23984E-03 4.79520E+01
1.41032E-03 4.76628E+01
1.59630E-03 4.73221E+01
1.61180E-03 4.72938E+01
1.73578E-03 4.70540E+01
1.85976E-03 4.68036E+01
2.04574E-03 4.64107E+01
2.10773E-03 4.62794E+01
2.23172E-03 4.60100E+01
2.47969E-03 4.54530E+01
2.75096E-03 4.48258E+01
2.94463E-03 4.43677E+01
2.98331E-03 4.42739E+01
3.09961E-03 4.40000E+01
3.40957E-03 4.32528E+01
3.71953E-03 4.25100E+01
4.18447E-03 4.14012E+01
4.33945E-03 4.10370E+01
4.95937E-03 3.95790E+01
5.57929E-03 3.81364E+01
5.88926E-03 3.74218E+01
6.19922E-03 3.67190E+01
6.81914E-03 3.53317E+01
7.43906E-03 3.39890E+01
8.05898E-03 3.26863E+01
8.67890E-03 3.14371E+01
8.98886E-03 3.08368E+01
9.44237E-03 2.99692E+01
9.91875E-03 2.91260E+01
1.05204E-02 2.80760E+01
1.11586E-02 2.70639E+01
1.17622E-02 2.61464E+01
1.23984E-02 2.52600E+01
1.29766E-02 2.45015E+01
1.38949E-02 2.34063E+01
1.48781E-02 2.23600E+01
1.57806E-02 2.15139E+01
1.67379E-02 2.06998E+01
1.73578E-02 2.02200E+01
1.82640E-02 1.95725E+01
1.92176E-02 1.89458E+01
1.98375E-02 1.85650E+01
2.07465E-02 1.80242E+01
2.16973E-02 1.74991E+01
2.23172E-02 1.71650E+01
2.32285E-02 1.66732E+01
2.41769E-02 1.61954E+01
2.47969E-02 1.58820E+01
2.58400E-02 1.53459E+01
2.69269E-02 1.48279E+01
2.78965E-02 1.43591E+01
2.83800E-02 1.41283E+01
3.01232E-02 1.33073E+01
3.09961E-02 1.29050E+01
3.25459E-02 1.22035E+01
3.36888E-02 1.16944E+01
3.48718E-02 1.12066E+01
3.60148E-02 1.07396E+01
3.71953E-02 1.02920E+01
3.84832E-02 9.81458E+00
3.94784E-02 9.47110E+00
4.10195E-02 8.97829E+00
4.26209E-02 8.51112E+00
4.33945E-02 8.29794E+00
4.52910E-02 7.81999E+00
4.72703E-02 7.36956E+00
4.95937E-02 6.91440E+00
5.11201E-02 6.65672E+00
5.26933E-02 6.40865E+00
5.50193E-02 6.09418E+00
5.67357E-02 5.89824E+00
5.85057E-02 5.70860E+00
5.88926E-02 5.67183E+00
6.11193E-02 5.47766E+00
6.19922E-02 5.41020E+00
6.64792E-02 5.11752E+00
7.12910E-02 4.84067E+00
7.43906E-02 4.65410E+00
7.74902E-02 4.45374E+00
7.97171E-02 4.30776E+00
8.31779E-02 4.09771E+00
8.67890E-02 3.89790E+00
9.05807E-02 3.72019E+00
9.45381E-02 3.55059E+00
9.76377E-02 3.41412E+00
9.91875E-02 3.34290E+00
1.02287E-01 3.19275E+00
1.05000E-01 3.05769E+00
1.07347E-01 2.93849E+00
1.09746E-01 2.82393E+00
1.13695E-01 2.63807E+00
1.17785E-01 2.46445E+00
1.20845E-01 2.34587E+00
1.23984E-01 2.23300E+00
1.27046E-01 2.13612E+00
1.30184E-01 2.04344E+00
1.34753E-01 1.92647E+00
1.39482E-01 1.81620E+00
1.44057E-01 1.72333E+00
1.48781E-01 1.63520E+00
1.52984E-01 1.56548E+00
1.57306E-01 1.49873E+00
1.63116E-01 1.42225E+00
1.68348E-01 1.36537E+00
1.73578E-01 1.31960E+00
1.79777E-01 1.27852E+00
1.88847E-01 1.23191E+00
1.98375E-01 1.18700E+00
2.07287E-01 1.13956E+00
2.14746E-01 1.09748E+00
2.19492E-01 1.07040E+00
2.26289E-01 1.03114E+00
2.36881E-01 9.74940E-01
2.47969E-01 9.21800E-01
2.60543E-01 8.68866E-01
2.70391E-01 8.31170E-01
2.78020E-01 8.03975E-01
2.89870E-01 7.64842E-01
3.02224E-01 7.27614E-01
3.10818E-01 7.02009E-01
3.19656E-01 6.77305E-01
3.28522E-01 6.52252E-01
3.37634E-01 6.28126E-01
3.40957E-01 6.19284E-01
3.49884E-01 5.95816E-01
3.64588E-01 5.58060E-01
3.71953E-01 5.39540E-01
3.79623E-01 5.20158E-01
3.87451E-01 5.01473E-01
3.97077E-01 4.78234E-01
4.06941E-01 4.56071E-01
4.15019E-01 4.37973E-01
4.23258E-01 4.20594E-01
4.32250E-01 4.01884E-01
4.41434E-01 3.84007E-01
4.51062E-01 3.65744E-01
4.60899E-01 3.48350E-01
4.72434E-01 3.28700E-01
4.84258E-01 3.10159E-01
4.95937E-01 2.92870E-01
5.04350E-01 2.80937E-01
5.17238E-01 2.63943E-01
5.30455E-01 2.47977E-01
5.38538E-01 2.38565E-01
5.50894E-01 2.25112E-01
5.63534E-01 2.12418E-01
5.73812E-01 2.02509E-01
5.89583E-01 1.88505E-01
6.05787E-01 1.75469E-01
6.15460E-01 1.68059E-01
6.30258E-01 1.57526E-01
6.45413E-01 1.47653E-01
6.58773E-01 1.39406E-01
6.68974E-01 1.33524E-01
6.84574E-01 1.25164E-01
7.00536E-01 1.17327E-01
7.16323E-01 1.10001E-01
7.28397E-01 1.04808E-01
7.46889E-01 9.74744E-02
7.65851E-01 9.06541E-02
