# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 9.824E+04
1.500E-03 3.355E+04
2.000E-03 1.541E+04
2.145E-03 1.272E+04
2.145E-03 1.271E+05
3.000E-03 5.741E+04
4.000E-03 2.688E+04
5.000E-03 1.465E+04
6.000E-03 8.819E+03
8.000E-03 3.892E+03
1.000E-02 2.037E+03
1.500E-02 6.112E+02
2.000E-02 2.556E+02
3.000E-02 7.310E+01
4.000E-02 2.968E+01
5.000E-02 1.467E+01
6.000E-02 8.213E+00
8.000E-02 3.276E+00
1.000E-01 1.603E+00
1.500E-01 4.389E-01
2.000E-01 1.770E-01
3.000E-01 5.113E-02
4.000E-01 2.216E-02
5.000E-01 1.203E-02
6.000E-01 7.523E-03
8.000E-01 3.813E-03
1.000E+00 2.370E-03
1.022E+00 2.237E-03
1.250E+00 3.419E-03
1.500E+00 1.139E-02
2.000E+00 4.112E-02
2.044E+00 4.424E-02
3.000E+00 1.157E-01
4.000E+00 1.879E-01
5.000E+00 2.529E-01
6.000E+00 3.116E-01
7.000E+00 3.640E-01
8.000E+00 4.116E-01
9.000E+00 4.547E-01
1.000E+01 4.939E-01
