# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 3.003E+01
1.500E-03 2.734E+01
2.000E-03 2.432E+01
3.000E-03 1.861E+01
4.000E-03 1.421E+01
5.000E-03 1.110E+01
6.000E-03 8.927E+00
8.000E-03 6.246E+00
1.000E-02 4.722E+00
1.500E-02 2.805E+00
2.000E-02 1.870E+00
3.000E-02 9.839E-01
4.000E-02 6.009E-01
5.000E-02 4.042E-01
6.000E-02 2.901E-01
8.000E-02 1.697E-01
1.000E-01 1.109E-01
1.500E-01 5.046E-02
2.000E-01 2.863E-02
3.000E-01 1.281E-02
4.000E-01 7.221E-03
5.000E-01 4.626E-03
6.000E-01 3.215E-03
8.000E-01 1.809E-03
1.000E+00 1.158E-03
1.022E+00 1.109E-03
1.250E+00 7.414E-04
1.500E+00 5.149E-04
2.000E+00 2.897E-04
2.044E+00 2.773E-04
3.000E+00 1.287E-04
4.000E+00 7.243E-05
5.000E+00 4.635E-05
6.000E+00 3.219E-05
7.000E+00 2.365E-05
8.000E+00 1.811E-05
9.000E+00 1.431E-05
1.000E+01 1.159E-05
