# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 1.605E+06
1.500E-03 7.201E+05
2.000E-03 3.905E+05
2.295E-03 2.886E+05
2.295E-03 3.258E+05
2.339E-03 4.793E+05
2.385E-03 7.051E+05
2.385E-03 7.606E+05
2.606E-03 7.238E+05
2.847E-03 6.888E+05
2.847E-03 7.955E+05
3.000E-03 7.019E+05
3.278E-03 5.643E+05
3.278E-03 5.989E+05
3.417E-03 5.428E+05
3.562E-03 4.920E+05
3.562E-03 5.129E+05
4.000E-03 3.896E+05
5.000E-03 2.261E+05
6.000E-03 1.437E+05
8.000E-03 6.932E+04
1.000E-02 3.903E+04
1.228E-02 2.285E+04
1.228E-02 5.793E+04
1.321E-02 4.759E+04
1.421E-02 3.911E+04
1.421E-02 5.424E+04
1.452E-02 5.149E+04
1.484E-02 4.888E+04
1.484E-02 5.656E+04
1.500E-02 5.489E+04
2.000E-02 2.628E+04
3.000E-02 8.989E+03
4.000E-02 4.142E+03
5.000E-02 2.256E+03
6.000E-02 1.369E+03
8.000E-02 6.197E+02
8.310E-02 5.578E+02
8.310E-02 2.693E+03
1.000E-01 1.656E+03
1.500E-01 5.702E+02
2.000E-01 2.647E+02
3.000E-01 9.113E+01
4.000E-01 4.392E+01
5.000E-01 2.553E+01
6.000E-01 1.669E+01
8.000E-01 8.842E+00
1.000E+00 5.568E+00
1.022E+00 5.330E+00
1.250E+00 3.717E+00
1.500E+00 3.139E+00
2.000E+00 3.305E+00
2.044E+00 3.354E+00
3.000E+00 4.696E+00
4.000E+00 6.148E+00
5.000E+00 7.461E+00
6.000E+00 8.633E+00
7.000E+00 9.686E+00
8.000E+00 1.065E+01
9.000E+00 1.152E+01
1.000E+01 1.234E+01
