# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 2.482E+05
1.500E-03 8.928E+04
2.000E-03 4.159E+04
3.000E-03 1.353E+04
4.000E-03 5.939E+03
5.000E-03 3.095E+03
6.000E-03 1.804E+03
8.000E-03 7.586E+02
1.000E-02 3.837E+02
1.500E-02 1.090E+02
2.000E-02 4.401E+01
3.000E-02 1.204E+01
4.000E-02 4.753E+00
5.000E-02 2.301E+00
6.000E-02 1.269E+00
8.000E-02 4.952E-01
1.000E-01 2.386E-01
1.500E-01 6.378E-02
2.000E-01 2.536E-02
3.000E-01 7.201E-03
4.000E-01 3.099E-03
5.000E-01 1.674E-03
6.000E-01 1.043E-03
8.000E-01 5.271E-04
1.000E+00 3.277E-04
1.022E+00 3.074E-04
1.250E+00 1.018E-03
1.500E+00 4.615E-03
2.000E+00 1.784E-02
2.044E+00 1.922E-02
3.000E+00 5.114E-02
4.000E+00 8.382E-02
5.000E+00 1.135E-01
6.000E+00 1.404E-01
7.000E+00 1.644E-01
8.000E+00 1.863E-01
9.000E+00 2.063E-01
1.000E+01 2.244E-01
