# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 2.543E+06
1.081E-03 2.205E+06
1.168E-03 1.913E+06
1.168E-03 1.940E+06
1.246E-03 1.713E+06
1.329E-03 1.513E+06
1.329E-03 1.543E+06
1.500E-03 1.213E+06
2.000E-03 6.664E+05
3.000E-03 2.725E+05
3.332E-03 2.145E+05
3.332E-03 5.330E+05
3.410E-03 4.996E+05
3.491E-03 4.683E+05
3.491E-03 6.701E+05
4.000E-03 4.791E+05
4.046E-03 4.653E+05
4.046E-03 5.414E+05
4.421E-03 4.337E+05
4.830E-03 3.474E+05
4.830E-03 3.686E+05
5.000E-03 3.387E+05
5.182E-03 3.100E+05
5.182E-03 3.234E+05
6.000E-03 2.261E+05
8.000E-03 1.107E+05
1.000E-02 6.300E+04
1.500E-02 2.224E+04
1.630E-02 1.793E+04
1.630E-02 4.325E+04
1.792E-02 3.344E+04
1.969E-02 2.586E+04
1.969E-02 3.698E+04
2.000E-02 3.506E+04
2.047E-02 3.310E+04
2.047E-02 3.822E+04
3.000E-02 1.437E+04
4.000E-02 6.754E+03
5.000E-02 3.731E+03
6.000E-02 2.288E+03
8.000E-02 1.052E+03
1.000E-01 5.744E+02
1.097E-01 4.473E+02
1.097E-01 1.939E+03
1.500E-01 8.702E+02
2.000E-01 4.138E+02
3.000E-01 1.467E+02
4.000E-01 7.208E+01
5.000E-01 4.247E+01
6.000E-01 2.802E+01
8.000E-01 1.501E+01
1.000E+00 9.495E+00
1.022E+00 9.092E+00
1.250E+00 6.311E+00
1.500E+00 5.185E+00
2.000E+00 5.042E+00
2.044E+00 5.082E+00
3.000E+00 6.423E+00
4.000E+00 8.015E+00
5.000E+00 9.507E+00
6.000E+00 1.086E+01
7.000E+00 1.208E+01
8.000E+00 1.321E+01
9.000E+00 1.426E+01
1.000E+01 1.522E+01
