# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 9.30000E+01
2.47969E-05 9.30000E+01
4.95937E-05 9.29819E+01
9.91875E-05 9.29638E+01
1.23984E-04 9.29580E+01
2.16973E-04 9.29063E+01
2.47969E-04 9.28940E+01
3.40957E-04 9.28293E+01
3.71953E-04 9.28000E+01
4.64941E-04 9.26902E+01
4.95937E-04 9.26480E+01
5.88926E-04 9.25082E+01
6.19922E-04 9.24570E+01
6.27361E-04 9.24426E+01
7.12910E-04 9.22890E+01
7.43906E-04 9.22280E+01
8.05898E-04 9.20899E+01
8.98886E-04 9.18861E+01
9.91875E-04 9.16730E+01
1.10036E-03 9.14026E+01
1.19335E-03 9.11524E+01
1.23984E-03 9.10310E+01
1.36383E-03 9.06637E+01
1.45682E-03 9.03726E+01
1.59630E-03 8.99200E+01
1.61180E-03 8.98663E+01
1.73578E-03 8.94560E+01
1.95275E-03 8.87164E+01
2.23172E-03 8.77390E+01
2.47969E-03 8.68390E+01
3.09961E-03 8.45970E+01
3.71953E-03 8.22980E+01
4.33945E-03 7.99980E+01
4.95937E-03 7.77010E+01
5.57929E-03 7.54000E+01
5.88926E-03 7.42588E+01
6.19922E-03 7.31440E+01
6.64792E-03 7.15100E+01
7.12910E-03 6.99126E+01
7.43906E-03 6.88870E+01
7.96304E-03 6.71644E+01
8.52392E-03 6.54848E+01
8.67890E-03 6.50215E+01
9.45381E-03 6.27962E+01
9.91875E-03 6.15320E+01
1.05204E-02 5.99217E+01
1.11586E-02 5.83535E+01
1.17785E-02 5.68550E+01
1.23984E-02 5.54150E+01
1.32958E-02 5.33496E+01
1.42582E-02 5.13611E+01
1.48781E-02 5.00990E+01
1.57806E-02 4.82961E+01
1.67379E-02 4.65580E+01
1.73578E-02 4.54640E+01
1.85563E-02 4.34284E+01
1.98375E-02 4.14840E+01
2.10408E-02 3.97440E+01
2.23172E-02 3.80770E+01
2.35244E-02 3.65671E+01
2.47969E-02 3.51170E+01
2.61181E-02 3.36525E+01
2.75096E-02 3.22491E+01
2.78965E-02 3.18635E+01
2.98331E-02 3.00118E+01
3.09961E-02 2.89520E+01
3.23240E-02 2.77564E+01
3.37089E-02 2.66101E+01
3.56455E-02 2.50566E+01
3.60323E-02 2.47562E+01
3.71953E-02 2.38810E+01
3.82474E-02 2.30898E+01
4.01607E-02 2.17676E+01
4.16582E-02 2.08260E+01
4.28178E-02 2.01465E+01
