n	k	avg_time
3	2	1353
4	2	1255
4	3	878
5	2	1277
5	3	910
5	4	679
6	2	1280
6	3	1014
6	4	720
6	5	563
7	2	1413
7	3	966
7	4	668
7	5	554
7	6	464
8	2	1256
8	3	852
8	4	669
8	5	576
8	6	460
8	7	408
9	2	1451
9	3	913
9	4	660
9	5	565
9	6	475
9	7	414
9	8	364
10	2	1177
10	3	842
10	4	734
10	5	748
10	6	467
10	7	409
10	8	351
10	9	364
11	2	1072
11	3	882
11	4	689
11	5	540
11	6	492
11	7	408
11	8	355
11	9	336
11	10	325
12	2	1073
12	3	943
12	4	720
12	5	539
12	6	462
12	7	417
12	8	378
12	9	316
12	10	311
12	11	283
13	2	1006
13	3	901
13	4	663
13	5	663
13	6	492
13	7	437
13	8	382
13	9	318
13	10	287
13	11	309
13	12	254
14	2	979
14	3	836
14	4	741
14	5	556
14	6	454
14	7	401
14	8	396
14	9	319
14	10	311
14	11	303
14	12	259
14	13	251
15	2	921
15	3	862
15	4	708
15	5	609
15	6	542
15	7	436
15	8	375
15	9	323
15	10	311
15	11	281
15	12	261
15	13	271
15	14	228
16	2	949
16	3	883
16	4	663
16	5	602
16	6	454
16	7	390
16	8	366
16	9	374
16	10	311
16	11	276
16	12	268
16	13	252
16	14	228
16	15	220
17	2	908
17	3	939
17	4	719
17	5	544
17	6	482
17	7	426
17	8	364
17	9	311
17	10	312
17	11	264
17	12	252
17	13	351
17	14	227
17	15	221
17	16	193
18	2	853
18	3	865
18	4	689
18	5	551
18	6	458
18	7	412
18	8	356
18	9	325
18	10	326
18	11	283
18	12	259
18	13	295
18	14	264
18	15	229
18	16	222
18	17	198
19	2	823
19	3	834
19	4	690
19	5	540
19	6	489
19	7	422
19	8	350
19	9	326
19	10	297
19	11	264
19	12	254
19	13	236
19	14	236
19	15	231
19	16	217
19	17	201
19	18	202
20	2	826
20	3	869
20	4	691
20	5	564
20	6	480
20	7	445
20	8	376
20	9	342
20	10	302
20	11	281
20	12	270
20	13	230
20	14	211
20	15	206
20	16	210
20	17	236
20	18	181
20	19	208
