n	k	avg_time
3.0	2.0	2031.1119266633063
4.0	2.0	2694.721207157258
4.0	3.0	1902.5774319556451
5.0	2.0	3301.7783990675402
5.0	3.0	2380.9964087701615
5.0	4.0	1884.8164613785282
6.0	2.0	3926.7740754158267
6.0	3.0	2800.9159447454635
6.0	4.0	2262.791944934476
6.0	5.0	1877.7966859879032
7.0	2.0	4632.817571824597
7.0	3.0	3296.8967678931454
7.0	4.0	2600.983366935484
7.0	5.0	2179.5655241935483
7.0	6.0	1971.7607894405241
8.0	2.0	5336.806183845766
8.0	3.0	3743.2867392263106
8.0	4.0	2987.2665228074598
8.0	5.0	2504.552427230343
8.0	6.0	2229.7517483618954
8.0	7.0	2025.6466655115928
9.0	2.0	5944.046512726814
9.0	3.0	4228.5261072958665
9.0	4.0	3351.753370715726
9.0	5.0	2786.7027942288305
9.0	6.0	2535.565626575101
9.0	7.0	2258.3769925025204
9.0	8.0	2134.777572139617
10.0	2.0	6733.114123928932
10.0	3.0	4767.759143460182
10.0	4.0	3768.574888167843
10.0	5.0	3152.9788778981856
10.0	6.0	2795.211961315524
10.0	7.0	2549.6168016003026
10.0	8.0	2326.9520933089716
10.0	9.0	2182.5647681451615
11.0	2.0	7314.719033518145
11.0	3.0	5238.093442855343
11.0	4.0	4124.877976940525
11.0	5.0	3463.054214969758
11.0	6.0	3058.3552482358873
11.0	7.0	2747.658982799899
11.0	8.0	2566.295166015625
11.0	9.0	2387.6807034400204
11.0	10.0	2236.2009986139115
12.0	2.0	8019.9838709677415
12.0	3.0	5673.292165448589
12.0	4.0	4416.7225696194555
12.0	5.0	3789.8292039440526
12.0	6.0	3333.9911321824598
12.0	7.0	3012.8117282006046
12.0	8.0	2753.7461646295365
12.0	9.0	2587.5243589339716
12.0	10.0	2429.1127535912296
12.0	11.0	2307.9500299269152
13.0	2.0	8676.697533392136
13.0	3.0	6128.64453125
13.0	4.0	4818.0543567288305
13.0	5.0	4099.466056577621
13.0	6.0	3599.830306514617
13.0	7.0	3251.7548906880043
13.0	8.0	2975.7059050529233
13.0	9.0	2775.2584189138106
13.0	10.0	2607.0586646295365
13.0	11.0	2518.4788621471776
13.0	12.0	2400.9795158140123
14.0	2.0	9359.52372889365
14.0	3.0	6538.915968371975
14.0	4.0	5138.929829259073
14.0	5.0	4398.91361359627
14.0	6.0	3892.7929608744957
14.0	7.0	3487.548828125
14.0	8.0	3225.05859375
14.0	9.0	2997.3529328377017
14.0	10.0	2801.0615313130043
14.0	11.0	2661.551773563508
14.0	12.0	2560.8133978074598
14.0	13.0	2478.4698761970767
15.0	2.0	9992.9486359627
15.0	3.0	7049.942949848791
15.0	4.0	5597.994266633064
15.0	5.0	4690.022523941532
15.0	6.0	4141.704235446068
15.0	7.0	3741.0975853704635
15.0	8.0	3452.6122023059474
15.0	9.0	3208.2176553049394
15.0	10.0	3092.740265877016
15.0	11.0	2952.3255260836695
15.0	12.0	2818.3021043346776
15.0	13.0	2712.184263167843
15.0	14.0	2635.1058625252017
16.0	2.0	10972.568130985383
16.0	3.0	7657.6639758694555
16.0	4.0	5961.204707976311
16.0	5.0	5048.282809349798
16.0	6.0	4461.052372101814
16.0	7.0	4043.6568642893144
16.0	8.0	3689.899855090726
16.0	9.0	3427.5349672379034
16.0	10.0	3245.7161432081652
16.0	11.0	3069.073273689516
16.0	12.0	2937.5402044480848
16.0	13.0	2834.819532825101
16.0	14.0	2653.131851688508
16.0	15.0	2479.2350129158267
17.0	2.0	11387.078936176915
17.0	3.0	8046.354366179436
17.0	4.0	6328.632946383568
17.0	5.0	5329.751519972278
17.0	6.0	4750.82568359375
17.0	7.0	4282.370739352318
17.0	8.0	3892.6060594128026
17.0	9.0	3621.3134529359877
17.0	10.0	3430.6873661164313
17.0	11.0	3304.1293551537296
17.0	12.0	3128.0297615297377
17.0	13.0	2986.4846427671373
17.0	14.0	2812.2774225050402
17.0	15.0	2796.722703503024
17.0	16.0	2695.9622527091733
18.0	2.0	11895.495290448589
18.0	3.0	8542.218190839214
18.0	4.0	6618.584094632057
18.0	5.0	5599.697627898186
18.0	6.0	4958.888246597782
18.0	7.0	4396.065886466734
18.0	8.0	4108.839764994959
