# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 4.207E+02
1.500E-03 3.933E+02
2.000E-03 3.647E+02
3.000E-03 3.110E+02
4.000E-03 2.642E+02
5.000E-03 2.245E+02
6.000E-03 1.915E+02
7.112E-03 1.618E+02
7.112E-03 1.618E+02
8.000E-03 1.430E+02
1.000E-02 1.114E+02
1.500E-02 6.916E+01
2.000E-02 4.794E+01
3.000E-02 2.642E+01
4.000E-02 1.665E+01
5.000E-02 1.154E+01
6.000E-02 8.511E+00
8.000E-02 5.197E+00
1.000E-01 3.494E+00
1.500E-01 1.652E+00
2.000E-01 9.580E-01
3.000E-01 4.385E-01
4.000E-01 2.498E-01
5.000E-01 1.610E-01
6.000E-01 1.122E-01
8.000E-01 6.337E-02
1.000E+00 4.063E-02
1.022E+00 3.891E-02
1.250E+00 2.604E-02
1.500E+00 1.809E-02
2.000E+00 1.019E-02
2.044E+00 9.752E-03
3.000E+00 4.529E-03
4.000E+00 2.548E-03
5.000E+00 1.631E-03
6.000E+00 1.133E-03
7.000E+00 8.321E-04
8.000E+00 6.371E-04
9.000E+00 5.034E-04
1.000E+01 4.077E-04
