# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 3.024E+03
1.211E-03 2.971E+03
1.468E-03 2.904E+03
1.468E-03 2.904E+03
1.500E-03 2.895E+03
1.515E-03 2.891E+03
1.515E-03 2.891E+03
1.689E-03 2.844E+03
1.884E-03 2.790E+03
1.884E-03 2.790E+03
2.000E-03 2.757E+03
2.090E-03 2.731E+03
2.090E-03 2.731E+03
2.196E-03 2.701E+03
2.307E-03 2.669E+03
2.307E-03 2.669E+03
3.000E-03 2.478E+03
4.000E-03 2.207E+03
5.000E-03 1.960E+03
6.000E-03 1.744E+03
8.000E-03 1.397E+03
8.648E-03 1.305E+03
8.648E-03 1.305E+03
9.120E-03 1.243E+03
9.617E-03 1.183E+03
9.617E-03 1.183E+03
1.000E-02 1.139E+03
1.012E-02 1.126E+03
1.012E-02 1.126E+03
1.500E-02 7.341E+02
2.000E-02 5.203E+02
3.000E-02 3.073E+02
4.000E-02 2.011E+02
5.000E-02 1.422E+02
5.939E-02 1.084E+02
5.939E-02 1.084E+02
6.000E-02 1.067E+02
8.000E-02 6.692E+01
1.000E-01 4.576E+01
1.500E-01 2.233E+01
2.000E-01 1.329E+01
3.000E-01 6.289E+00
4.000E-01 3.648E+00
5.000E-01 2.377E+00
6.000E-01 1.670E+00
8.000E-01 9.535E-01
1.000E+00 6.153E-01
1.022E+00 5.895E-01
1.250E+00 3.963E-01
1.500E+00 2.762E-01
2.000E+00 1.560E-01
2.044E+00 1.493E-01
3.000E+00 6.952E-02
4.000E+00 3.915E-02
5.000E+00 2.507E-02
6.000E+00 1.741E-02
7.000E+00 1.280E-02
8.000E+00 9.798E-03
9.000E+00 7.742E-03
1.000E+01 6.271E-03
