# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 2.579E+03
1.089E-03 2.557E+03
1.185E-03 2.531E+03
1.185E-03 2.531E+03
1.201E-03 2.527E+03
1.217E-03 2.522E+03
1.217E-03 2.522E+03
1.500E-03 2.448E+03
1.544E-03 2.436E+03
1.544E-03 2.436E+03
1.615E-03 2.416E+03
1.688E-03 2.396E+03
1.688E-03 2.396E+03
1.782E-03 2.371E+03
1.881E-03 2.345E+03
1.881E-03 2.345E+03
2.000E-03 2.312E+03
3.000E-03 2.049E+03
4.000E-03 1.807E+03
5.000E-03 1.595E+03
6.000E-03 1.415E+03
7.243E-03 1.228E+03
7.243E-03 1.228E+03
7.579E-03 1.182E+03
7.930E-03 1.139E+03
7.930E-03 1.139E+03
8.000E-03 1.131E+03
8.376E-03 1.087E+03
8.376E-03 1.087E+03
1.000E-02 9.216E+02
1.500E-02 5.981E+02
2.000E-02 4.277E+02
3.000E-02 2.517E+02
4.000E-02 1.640E+02
5.000E-02 1.162E+02
5.024E-02 1.154E+02
5.024E-02 1.154E+02
6.000E-02 8.734E+01
8.000E-02 5.458E+01
1.000E-01 3.718E+01
1.500E-01 1.812E+01
2.000E-01 1.078E+01
3.000E-01 5.079E+00
4.000E-01 2.939E+00
5.000E-01 1.912E+00
6.000E-01 1.343E+00
8.000E-01 7.654E-01
1.000E+00 4.935E-01
1.022E+00 4.728E-01
1.250E+00 3.176E-01
1.500E+00 2.212E-01
2.000E+00 1.248E-01
2.044E+00 1.195E-01
3.000E+00 5.562E-02
4.000E+00 3.132E-02
5.000E+00 2.005E-02
6.000E+00 1.393E-02
7.000E+00 1.023E-02
8.000E+00 7.836E-03
9.000E+00 6.192E-03
1.000E+01 5.016E-03
