# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 5.996E+03
1.111E-03 5.940E+03
1.235E-03 5.880E+03
1.235E-03 5.880E+03
1.500E-03 5.746E+03
1.554E-03 5.716E+03
1.554E-03 5.716E+03
1.651E-03 5.665E+03
1.755E-03 5.611E+03
1.755E-03 5.611E+03
2.000E-03 5.473E+03
3.000E-03 4.923E+03
4.000E-03 4.406E+03
4.132E-03 4.342E+03
4.132E-03 4.342E+03
4.247E-03 4.287E+03
4.366E-03 4.231E+03
4.366E-03 4.231E+03
4.661E-03 4.096E+03
4.977E-03 3.956E+03
4.977E-03 3.956E+03
5.000E-03 3.946E+03
6.000E-03 3.549E+03
6.147E-03 3.495E+03
6.147E-03 3.495E+03
6.348E-03 3.424E+03
6.556E-03 3.353E+03
6.556E-03 3.353E+03
8.000E-03 2.915E+03
1.000E-02 2.440E+03
1.500E-02 1.666E+03
1.945E-02 1.250E+03
1.945E-02 1.250E+03
2.000E-02 1.209E+03
2.439E-02 9.455E+02
2.439E-02 9.455E+02
2.483E-02 9.214E+02
2.527E-02 8.977E+02
2.527E-02 8.977E+02
3.000E-02 7.151E+02
4.000E-02 4.797E+02
5.000E-02 3.480E+02
6.000E-02 2.629E+02
8.000E-02 1.653E+02
1.000E-01 1.147E+02
1.316E-01 7.239E+01
1.316E-01 7.239E+01
1.500E-01 5.775E+01
2.000E-01 3.466E+01
3.000E-01 1.667E+01
4.000E-01 9.842E+00
5.000E-01 6.495E+00
6.000E-01 4.604E+00
8.000E-01 2.658E+00
1.000E+00 1.729E+00
1.022E+00 1.657E+00
1.250E+00 1.121E+00
1.500E+00 7.848E-01
2.000E+00 4.459E-01
2.044E+00 4.271E-01
3.000E+00 1.999E-01
4.000E+00 1.128E-01
5.000E+00 7.236E-02
6.000E+00 5.030E-02
7.000E+00 3.698E-02
8.000E+00 2.833E-02
9.000E+00 2.239E-02
1.000E+01 1.814E-02
