# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 5.867E+03
1.074E-03 5.830E+03
1.154E-03 5.792E+03
1.154E-03 5.792E+03
1.289E-03 5.727E+03
1.440E-03 5.650E+03
1.440E-03 5.650E+03
1.500E-03 5.618E+03
1.643E-03 5.540E+03
1.643E-03 5.540E+03
2.000E-03 5.347E+03
3.000E-03 4.805E+03
3.971E-03 4.313E+03
3.971E-03 4.313E+03
4.000E-03 4.299E+03
4.227E-03 4.192E+03
4.227E-03 4.192E+03
4.503E-03 4.066E+03
4.797E-03 3.937E+03
4.797E-03 3.937E+03
5.000E-03 3.851E+03
5.895E-03 3.502E+03
5.895E-03 3.502E+03
6.000E-03 3.464E+03
6.288E-03 3.363E+03
6.288E-03 3.363E+03
8.000E-03 2.847E+03
1.000E-02 2.384E+03
1.500E-02 1.627E+03
1.893E-02 1.258E+03
1.893E-02 1.258E+03
2.000E-02 1.179E+03
2.380E-02 9.508E+02
2.380E-02 9.508E+02
2.413E-02 9.342E+02
2.446E-02 9.177E+02
2.446E-02 9.177E+02
3.000E-02 6.966E+02
4.000E-02 4.677E+02
5.000E-02 3.388E+02
6.000E-02 2.558E+02
8.000E-02 1.608E+02
1.000E-01 1.116E+02
1.282E-01 7.353E+01
1.282E-01 7.353E+01
1.500E-01 5.610E+01
2.000E-01 3.365E+01
3.000E-01 1.618E+01
4.000E-01 9.548E+00
5.000E-01 6.297E+00
6.000E-01 4.462E+00
8.000E-01 2.575E+00
1.000E+00 1.674E+00
1.022E+00 1.605E+00
1.250E+00 1.085E+00
1.500E+00 7.594E-01
2.000E+00 4.313E-01
2.044E+00 4.132E-01
3.000E+00 1.933E-01
4.000E+00 1.091E-01
5.000E+00 6.996E-02
6.000E+00 4.863E-02
7.000E+00 3.575E-02
8.000E+00 2.738E-02
9.000E+00 2.164E-02
1.000E+01 1.753E-02
