# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 4.728E+03
1.047E-03 4.710E+03
1.097E-03 4.691E+03
1.097E-03 4.691E+03
1.500E-03 4.527E+03
2.000E-03 4.298E+03
2.892E-03 3.888E+03
2.892E-03 3.888E+03
3.000E-03 3.840E+03
3.021E-03 3.831E+03
3.021E-03 3.831E+03
3.270E-03 3.726E+03
3.538E-03 3.614E+03
3.538E-03 3.614E+03
4.000E-03 3.432E+03
4.159E-03 3.372E+03
4.159E-03 3.372E+03
4.317E-03 3.314E+03
4.482E-03 3.256E+03
4.482E-03 3.256E+03
5.000E-03 3.079E+03
6.000E-03 2.773E+03
8.000E-03 2.273E+03
1.000E-02 1.893E+03
1.462E-02 1.306E+03
1.462E-02 1.306E+03
1.500E-02 1.270E+03
1.734E-02 1.074E+03
1.734E-02 1.074E+03
1.769E-02 1.049E+03
1.805E-02 1.024E+03
1.805E-02 1.024E+03
2.000E-02 9.039E+02
3.000E-02 5.317E+02
4.000E-02 3.567E+02
5.000E-02 2.551E+02
6.000E-02 1.912E+02
8.000E-02 1.201E+02
9.840E-02 8.544E+01
9.840E-02 8.544E+01
1.000E-01 8.317E+01
1.500E-01 4.123E+01
2.000E-01 2.463E+01
3.000E-01 1.178E+01
4.000E-01 6.905E+00
5.000E-01 4.530E+00
6.000E-01 3.198E+00
8.000E-01 1.836E+00
1.000E+00 1.190E+00
1.022E+00 1.140E+00
1.250E+00 7.687E-01
1.500E+00 5.370E-01
2.000E+00 3.041E-01
2.044E+00 2.913E-01
3.000E+00 1.359E-01
4.000E+00 7.663E-02
5.000E+00 4.910E-02
6.000E+00 3.411E-02
7.000E+00 2.507E-02
8.000E+00 1.920E-02
9.000E+00 1.517E-02
1.000E+01 1.229E-02
