# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 9.917E+02
1.500E-03 9.279E+02
2.000E-03 8.642E+02
2.222E-03 8.367E+02
2.222E-03 8.367E+02
2.264E-03 8.316E+02
2.307E-03 8.265E+02
2.307E-03 8.265E+02
2.417E-03 8.141E+02
2.532E-03 8.014E+02
2.532E-03 8.014E+02
3.000E-03 7.489E+02
4.000E-03 6.509E+02
5.000E-03 5.692E+02
6.000E-03 5.020E+02
8.000E-03 4.000E+02
1.000E-02 3.257E+02
1.500E-02 2.050E+02
1.800E-02 1.611E+02
1.800E-02 1.611E+02
2.000E-02 1.397E+02
3.000E-02 7.899E+01
4.000E-02 5.126E+01
5.000E-02 3.572E+01
6.000E-02 2.628E+01
8.000E-02 1.602E+01
1.000E-01 1.085E+01
1.500E-01 5.236E+00
2.000E-01 3.065E+00
3.000E-01 1.415E+00
4.000E-01 8.111E-01
5.000E-01 5.247E-01
6.000E-01 3.667E-01
8.000E-01 2.078E-01
1.000E+00 1.334E-01
1.022E+00 1.278E-01
1.250E+00 8.562E-02
1.500E+00 5.953E-02
2.000E+00 3.353E-02
2.044E+00 3.211E-02
3.000E+00 1.492E-02
4.000E+00 8.394E-03
5.000E+00 5.373E-03
6.000E+00 3.732E-03
7.000E+00 2.742E-03
8.000E+00 2.099E-03
9.000E+00 1.659E-03
1.000E+01 1.344E-03
