# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 2.840E+03
1.162E-03 2.797E+03
1.351E-03 2.748E+03
1.351E-03 2.748E+03
1.371E-03 2.743E+03
1.391E-03 2.737E+03
1.391E-03 2.737E+03
1.500E-03 2.706E+03
1.741E-03 2.640E+03
1.741E-03 2.640E+03
1.830E-03 2.615E+03
1.923E-03 2.588E+03
1.923E-03 2.588E+03
2.000E-03 2.566E+03
2.128E-03 2.529E+03
2.128E-03 2.529E+03
3.000E-03 2.290E+03
4.000E-03 2.031E+03
5.000E-03 1.800E+03
6.000E-03 1.599E+03
8.000E-03 1.281E+03
8.071E-03 1.271E+03
8.071E-03 1.271E+03
8.484E-03 1.217E+03
8.918E-03 1.164E+03
8.918E-03 1.164E+03
9.153E-03 1.136E+03
9.394E-03 1.109E+03
9.394E-03 1.109E+03
1.000E-02 1.044E+03
1.500E-02 6.752E+02
2.000E-02 4.804E+02
3.000E-02 2.837E+02
4.000E-02 1.854E+02
5.000E-02 1.312E+02
5.562E-02 1.110E+02
5.562E-02 1.110E+02
6.000E-02 9.850E+01
8.000E-02 6.172E+01
1.000E-01 4.214E+01
1.500E-01 2.055E+01
2.000E-01 1.223E+01
3.000E-01 5.779E+00
4.000E-01 3.348E+00
5.000E-01 2.181E+00
6.000E-01 1.532E+00
8.000E-01 8.740E-01
1.000E+00 5.638E-01
1.022E+00 5.402E-01
1.250E+00 3.630E-01
1.500E+00 2.529E-01
2.000E+00 1.428E-01
2.044E+00 1.367E-01
3.000E+00 6.364E-02
4.000E+00 3.583E-02
5.000E+00 2.294E-02
6.000E+00 1.594E-02
7.000E+00 1.171E-02
8.000E+00 8.968E-03
9.000E+00 7.086E-03
1.000E+01 5.740E-03
