# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 1.259E+06
1.500E-03 4.985E+05
2.000E-03 2.496E+05
3.000E-03 9.090E+04
3.351E-03 6.858E+04
3.351E-03 2.272E+05
3.436E-03 2.135E+05
3.524E-03 2.006E+05
3.524E-03 2.760E+05
3.662E-03 2.512E+05
3.806E-03 2.286E+05
3.806E-03 2.619E+05
4.000E-03 2.328E+05
5.000E-03 1.315E+05
6.000E-03 8.186E+04
8.000E-03 3.819E+04
1.000E-02 2.089E+04
1.500E-02 6.846E+03
2.000E-02 3.063E+03
2.551E-02 1.540E+03
2.551E-02 9.756E+03
3.000E-02 6.434E+03
4.000E-02 2.983E+03
5.000E-02 1.617E+03
6.000E-02 9.717E+02
8.000E-02 4.292E+02
1.000E-01 2.259E+02
1.500E-01 6.966E+01
2.000E-01 3.026E+01
3.000E-01 9.564E+00
4.000E-01 4.368E+00
5.000E-01 2.449E+00
6.000E-01 1.562E+00
8.000E-01 8.059E-01
1.000E+00 5.028E-01
1.022E+00 4.784E-01
1.250E+00 3.515E-01
1.500E+00 3.658E-01
2.000E+00 6.071E-01
2.044E+00 6.348E-01
3.000E+00 1.284E+00
4.000E+00 1.927E+00
5.000E+00 2.496E+00
6.000E+00 2.994E+00
7.000E+00 3.440E+00
8.000E+00 3.843E+00
9.000E+00 4.211E+00
1.000E+01 4.548E+00
