Current Density,Cell Voltage,Temperature,Pressure
0.0,1.252,40,1
0.002,1.368,40,1
0.005,1.4280000000000002,40,1
0.009000000000000001,1.479,40,1
0.016,1.521,40,1
0.022000000000000002,1.547,40,1
0.027000000000000003,1.565,40,1
0.032,1.5819999999999999,40,1
0.037000000000000005,1.5959999999999999,40,1
0.042,1.609,40,1
0.048,1.6230000000000002,40,1
0.053,1.632,40,1
0.059000000000000004,1.646,40,1
0.064,1.6540000000000001,40,1
0.069,1.6640000000000001,40,1
0.075,1.673,40,1
0.08,1.6840000000000002,40,1
0.085,1.692,40,1
0.091,1.7009999999999998,40,1
0.096,1.7080000000000002,40,1
0.10099999999999999,1.7169999999999999,40,1
0.107,1.725,40,1
0.11199999999999999,1.734,40,1
0.11699999999999999,1.7409999999999999,40,1
0.12300000000000001,1.749,40,1
0.128,1.757,40,1
0.133,1.765,40,1
0.139,1.7719999999999998,40,1
0.14400000000000002,1.78,40,1
0.149,1.788,40,1
0.155,1.795,40,1
0.16,1.804,40,1
0.165,1.81,40,1
0.171,1.818,40,1
0.17600000000000002,1.825,40,1
0.18100000000000002,1.831,40,1
0.187,1.839,40,1
0.192,1.847,40,1
0.19699999999999998,1.854,40,1
0.203,1.861,40,1
0.20800000000000002,1.869,40,1
0.213,1.875,40,1
0.21899999999999997,1.882,40,1
0.22399999999999998,1.89,40,1
0.22899999999999998,1.8969999999999998,40,1
0.235,1.905,40,1
0.24,1.911,40,1
0.245,1.9180000000000001,40,1
0.251,1.926,40,1
0.256,1.933,40,1
0.261,1.94,40,1
0.266,1.9469999999999998,40,1
