# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 1.734E+06
1.500E-03 7.042E+05
2.000E-03 3.558E+05
3.000E-03 1.308E+05
4.000E-03 6.295E+04
4.132E-03 5.791E+04
4.132E-03 1.747E+05
4.254E-03 1.652E+05
4.380E-03 1.561E+05
4.380E-03 2.112E+05
4.537E-03 1.948E+05
4.698E-03 1.797E+05
4.698E-03 2.071E+05
5.000E-03 1.779E+05
6.000E-03 1.117E+05
8.000E-03 5.251E+04
1.000E-02 2.893E+04
1.500E-02 9.580E+03
2.000E-02 4.314E+03
3.000E-02 1.379E+03
3.049E-02 1.317E+03
3.049E-02 8.074E+03
4.000E-02 3.982E+03
5.000E-02 2.176E+03
6.000E-02 1.318E+03
8.000E-02 5.891E+02
1.000E-01 3.125E+02
1.500E-01 9.760E+01
2.000E-01 4.274E+01
3.000E-01 1.364E+01
4.000E-01 6.271E+00
5.000E-01 3.530E+00
6.000E-01 2.257E+00
8.000E-01 1.168E+00
1.000E+00 7.292E-01
1.022E+00 6.940E-01
1.250E+00 5.038E-01
1.500E+00 5.012E-01
2.000E+00 7.689E-01
2.044E+00 8.006E-01
3.000E+00 1.547E+00
4.000E+00 2.291E+00
5.000E+00 2.949E+00
6.000E+00 3.524E+00
7.000E+00 4.038E+00
8.000E+00 4.503E+00
9.000E+00 4.927E+00
1.000E+01 5.316E+00
