# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.461E+03
1.500E-03 1.388E+03
2.000E-03 1.306E+03
3.000E-03 1.140E+03
3.537E-03 1.056E+03
3.537E-03 1.056E+03
3.631E-03 1.042E+03
3.727E-03 1.028E+03
3.727E-03 1.028E+03
4.000E-03 9.880E+02
4.018E-03 9.854E+02
4.018E-03 9.854E+02
5.000E-03 8.577E+02
6.000E-03 7.494E+02
8.000E-03 5.888E+02
1.000E-02 4.796E+02
1.500E-02 3.149E+02
2.000E-02 2.195E+02
2.671E-02 1.460E+02
2.671E-02 1.460E+02
3.000E-02 1.234E+02
4.000E-02 8.060E+01
5.000E-02 5.697E+01
6.000E-02 4.225E+01
8.000E-02 2.582E+01
1.000E-01 1.748E+01
1.500E-01 8.484E+00
2.000E-01 4.999E+00
3.000E-01 2.322E+00
4.000E-01 1.335E+00
5.000E-01 8.650E-01
6.000E-01 6.055E-01
8.000E-01 3.437E-01
1.000E+00 2.210E-01
1.022E+00 2.117E-01
1.250E+00 1.419E-01
1.500E+00 9.872E-02
2.000E+00 5.564E-02
2.044E+00 5.327E-02
3.000E+00 2.476E-02
4.000E+00 1.394E-02
5.000E+00 8.920E-03
6.000E+00 6.195E-03
7.000E+00 4.552E-03
8.000E+00 3.485E-03
9.000E+00 2.754E-03
1.000E+01 2.231E-03
